id,comportamento_1,comportamento_2,comportamento_3
1,-3.1251,-1.4075,0.6269
2,-3.1114,-1.3146,-0.1881
3,-3.8544,-2.0181,0.8763
4,-4.6579,-2.1667,1.1089
5,-2.2476,-1.9163,-0.1773
6,-4.0201,-2.9127,1.9739
7,-2.9819,-1.7338,0.4153
8,-3.6457,-2.4694,-0.3700
9,-4.2638,-3.0000,1.3764
10,-2.3422,-1.0449,0.7515
11,-5.1252,-1.7578,-1.0704
12,-3.1135,-1.9132,-0.2105
13,-3.5976,-2.0434,-0.4730
14,-2.8351,-1.6433,0.8994
15,-3.7486,-2.0143,0.4363
16,-3.0959,-2.1771,-0.1759
17,-4.0612,-2.3964,0.5322
18,-2.4912,-2.9156,0.6387
19,-3.7824,-1.6718,0.3450
20,-3.1160,-1.4264,-0.1550
21,-3.1497,-3.1738,-0.0925
22,-2.0899,-2.7987,-0.6153
23,-4.6508,-3.0249,-0.2415
24,-2.4123,-0.4493,0.0755
25,-3.7959,-1.8843,0.1510
26,-4.1293,-1.1233,1.6251
27,-2.7312,-3.0904,-0.3671
28,-3.4971,-2.1893,0.6843
29,-3.0885,-2.1294,1.1966
30,-3.1138,-2.0529,-0.3137
31,-4.2708,-2.5256,0.8995
32,-2.7836,-2.1341,0.2659
33,-3.1346,-2.7461,0.4394
34,-2.3567,-1.3490,-0.3785
35,-2.7402,-2.6997,1.2514
36,-3.3457,-1.6542,1.0371
37,-3.3486,-3.0726,0.2681
38,-3.5716,-2.1411,-0.8237
39,-3.5545,-0.8629,0.9078
40,-2.3618,-0.5451,0.2033
41,-2.9154,-2.9452,0.9837
42,-3.7843,-1.5089,-0.1324
43,-3.1345,-2.3258,1.3841
44,-1.9113,-1.6693,-0.8258
45,-2.7183,-0.2679,0.9310
46,-3.2490,-3.4882,0.2431
47,-2.6070,-2.2883,0.4182
48,-3.2663,-2.3975,1.2283
49,-3.0394,-2.2135,1.5344
50,-4.6424,-1.0194,0.2028
51,-3.0327,-3.0495,-0.4045
52,-2.9352,-1.2041,-0.5517
53,-3.5971,-1.9327,-0.2032
54,-3.7434,-2.0273,0.5358
55,-4.2825,-2.4218,0.1374
56,-2.7195,-2.6464,0.9660
57,-2.5815,-0.9265,0.7478
58,-3.6063,-2.9521,0.0209
59,-2.8419,-1.3648,1.9146
60,-2.9424,-3.7416,0.5800
61,-3.1722,-1.8336,0.4742
62,-4.1790,-1.0536,-0.3098
63,-2.7450,-2.6889,0.5995
64,-3.0528,-2.0445,1.5911
65,-2.2706,-1.9008,-0.0194
66,-4.4837,-1.5844,-0.0224
67,-3.0415,-2.4071,0.1951
68,-3.7633,-3.6691,1.2617
69,-2.4967,-1.7634,1.7478
70,-4.1758,-1.7460,0.8679
71,-2.8238,-2.1536,0.6969
72,-4.5209,-2.2355,1.1308
73,-2.4217,-1.9469,0.9257
74,-2.6149,-3.6493,-0.0007
75,-3.5560,-2.3453,0.4565
76,-3.8702,-1.4774,-0.2380
77,-2.8046,-1.4045,0.8611
78,-4.1192,-2.4148,1.5460
79,-4.5863,-2.8150,-0.1393
80,-4.1349,-3.7315,0.3076
81,-2.6562,-2.1936,0.0643
82,-3.1804,-2.6873,-0.4157
83,-3.7406,-0.5045,0.4721
84,-3.9182,-3.0477,0.8566
85,-3.2372,-1.5823,0.1082
86,-2.8640,-0.9671,-0.0672
87,-2.4941,-2.7332,-0.6731
88,-1.2883,-1.6980,0.4653
89,-3.2169,-1.8499,1.0913
90,-2.2324,-1.1605,0.5155
