id,idade,renda_mensal,utilizacao_limite,atrasos_30d,meses_relacionamento,target
1,39,4075.65,0.4128,0,162,0
2,46,900.00,0.7442,0,143,0
3,63,5066.64,0.4110,0,156,0
4,47,8524.24,0.2425,0,160,0
5,62,5598.85,0.3078,0,83,0
6,50,4826.94,0.3798,0,107,0
7,74,2732.17,1.0081,2,22,1
8,67,2652.39,0.7556,0,141,0
9,54,9932.38,0.2061,0,158,0
10,58,4394.92,0.4438,0,67,0
11,19,2692.55,0.4324,0,155,0
12,60,900.00,0.6197,0,43,0
13,36,10631.35,0.4477,0,92,0
14,24,7783.41,0.1358,0,45,0
15,39,3143.24,0.1549,0,48,0
16,48,6905.19,0.8918,1,156,0
17,57,1650.90,0.3574,0,30,0
18,21,900.00,0.5758,0,162,0
19,57,1883.78,0.5759,0,55,0
20,66,4056.77,0.4524,0,82,0
21,68,5027.50,0.9944,2,11,0
22,45,4885.97,0.4083,0,174,0
23,32,4804.64,0.7288,0,180,1
24,28,3364.49,0.3030,0,7,0
25,42,8834.06,0.3694,0,172,0
26,34,5803.86,0.7020,0,153,0
27,22,6288.12,0.4152,0,63,0
28,23,4165.51,0.1711,0,22,0
29,62,4491.13,0.6280,0,62,0
30,39,5001.68,0.4712,0,16,0
31,58,3926.71,0.0000,0,168,0
32,35,4668.79,0.3213,0,7,0
33,26,6387.23,0.5107,1,118,0
34,73,4281.54,0.6488,0,154,0
35,41,6402.67,0.6533,1,53,0
36,64,6158.53,0.4819,0,79,0
37,62,8703.89,0.5871,0,164,0
38,28,5246.55,0.3776,0,51,0
39,47,5364.09,0.6953,0,121,0
40,55,7772.26,0.6881,0,82,0
41,43,4265.82,0.6641,0,69,0
42,67,5746.30,0.3165,0,133,0
43,49,4896.89,0.3747,0,126,0
44,32,3525.94,0.3977,1,10,0
45,60,8981.07,0.8321,2,1,0
46,55,3027.31,0.0000,0,45,0
47,60,5550.02,0.0560,0,13,0
48,36,900.00,0.8742,0,102,0
49,28,6182.29,0.0923,0,139,0
50,32,7567.45,0.0000,0,98,0
51,37,5861.91,0.5145,0,63,0
52,51,3915.65,0.4541,0,81,0
53,43,2366.16,0.3269,1,50,0
54,47,3305.14,1.0133,1,109,0
55,22,3022.94,0.1462,0,69,0
56,31,7422.92,0.6527,0,134,0
57,38,8778.18,0.4543,1,19,0
58,25,7580.28,0.5320,0,115,0
59,34,6421.76,0.7705,1,4,1
60,38,3415.28,0.1236,1,152,0
61,27,4920.65,0.2676,1,148,0
62,52,8656.42,0.9017,1,135,0
63,56,3757.41,0.6016,0,24,0
64,22,5570.86,0.3552,0,77,0
65,32,5295.67,0.6458,0,129,0
66,22,5820.41,0.3799,0,162,0
67,74,900.00,0.0102,0,6,0
68,28,6468.73,0.5522,0,134,1
69,54,5071.76,0.3301,0,92,0
70,21,6320.04,1.1876,1,147,0
71,53,900.00,0.8203,1,156,0
72,31,6113.76,0.5565,1,118,0
73,48,7569.08,0.1872,0,136,0
74,23,10306.07,0.8462,1,172,0
75,28,7857.01,0.1181,0,114,0
76,58,3647.50,0.3459,0,175,0
77,73,1382.23,0.1283,0,113,0
78,29,8917.28,0.6323,0,128,0
79,61,6060.37,0.3471,0,126,0
80,39,4713.22,0.1035,1,28,0
81,39,4053.04,0.3483,0,45,0
82,26,2659.71,0.8605,0,83,0
83,20,5923.05,0.7436,1,39,0
84,25,900.00,0.6049,0,56,0
85,44,5903.33,0.2401,0,156,0
86,34,3794.37,0.4236,0,30,1
87,41,6455.95,0.7808,0,117,0
88,24,1665.93,0.2655,0,5,0
89,60,900.00,0.1070,0,82,1
90,46,4780.36,0.3806,0,90,0
91,40,5319.21,0.4018,0,58,0
92,52,6204.62,0.3451,0,121,0
93,61,2817.28,0.5927,0,102,0
94,22,4467.68,0.1340,0,163,0
95,35,2504.67,0.5051,0,147,0
96,23,8020.85,0.4280,1,168,0
97,55,2834.90,0.5663,0,98,0
98,74,3609.34,0.0852,0,171,0
99,35,5823.53,0.5375,0,82,0
100,43,1712.26,0.2199,0,159,0
101,65,2178.97,0.5214,0,60,1
102,21,5960.92,0.7177,0,151,0
103,36,8189.42,0.3351,0,64,0
104,37,900.00,0.5897,0,160,0
105,52,1555.09,0.3292,0,110,0
106,21,8295.35,0.5899,1,6,0
107,32,6482.40,0.3460,0,128,0
108,28,5811.38,0.3294,0,175,0
109,31,6883.80,1.0097,2,165,1
110,62,963.52,0.5999,1,60,0
111,58,6704.92,0.0453,0,50,0
112,73,5627.78,0.4314,0,112,0
113,68,7662.06,0.3359,0,175,0
114,39,5276.22,1.1676,1,147,0
115,69,4053.61,0.4005,0,45,0
116,37,5001.81,0.8727,1,11,0
117,27,6624.18,0.3417,1,79,1
118,60,5153.94,0.1565,1,96,0
119,66,4152.94,0.3979,1,7,0
120,29,1260.99,0.7854,0,85,0
121,30,7854.42,0.2393,0,138,0
122,61,3748.22,0.0000,0,152,0
123,43,900.00,0.4318,0,96,0
124,28,1913.51,0.4051,0,141,0
125,66,900.00,0.5607,0,162,0
126,29,3335.22,0.2391,0,138,0
127,53,5872.18,0.3495,0,173,0
128,48,7313.38,0.8757,2,155,0
129,24,5653.79,0.1835,0,166,0
130,42,8346.90,0.7443,1,145,0
131,38,5202.35,0.4914,0,71,0
132,21,2569.82,0.7462,0,57,1
133,64,4306.71,0.5140,0,8,0
134,58,900.00,0.6626,0,179,1
135,33,6067.51,0.1536,1,85,0
136,50,4896.98,0.9682,1,57,0
137,54,8324.46,0.7126,1,68,0
138,35,10398.35,0.5267,0,50,1
139,74,5913.15,0.2283,0,171,0
140,63,6122.88,0.1324,0,168,0
141,36,9098.15,0.6225,0,88,0
142,58,7644.19,1.1255,0,60,0
143,69,9184.59,1.1867,2,23,1
144,60,3588.62,0.4401,1,17,0
145,23,900.00,0.6687,0,114,0
146,25,5389.48,0.3383,0,94,0
147,47,900.00,0.1880,0,47,0
148,57,3867.85,0.5700,0,20,0
149,60,8709.28,0.1778,1,34,0
150,48,1638.01,0.3086,0,111,0
151,51,4434.31,0.7302,1,87,0
152,60,6315.53,0.8113,0,54,0
153,51,5078.42,0.6176,0,116,0
154,32,1771.75,0.7220,1,62,0
155,40,2206.48,0.7501,0,158,0
156,46,5657.51,0.4802,1,45,0
157,30,7434.71,0.2056,0,40,0
158,54,3557.63,0.4679,0,10,1
159,63,5230.08,0.5419,1,134,0
160,71,5243.89,0.3094,0,118,0
161,20,4497.55,0.3055,0,176,0
162,45,5880.49,0.6385,0,1,0
163,56,5347.95,0.0662,0,24,0
164,19,10799.62,0.4609,1,163,0
165,20,8339.11,0.3627,0,157,0
166,36,8187.68,0.2241,0,172,0
167,59,5336.17,0.7912,0,45,1
168,36,900.00,0.7904,1,132,1
169,67,3580.48,0.2187,1,57,1
170,42,4212.87,0.0431,0,43,0
171,51,4225.21,0.5423,0,53,0
172,63,3332.54,0.4163,1,111,0
173,46,6019.21,0.6565,1,5,0
174,44,900.00,0.5919,1,80,0
175,68,5383.58,0.7767,0,141,0
176,52,900.00,0.2557,1,150,0
177,21,5819.84,0.2125,0,50,0
178,71,4492.48,0.6954,0,48,0
179,59,3642.94,0.0000,0,91,0
180,33,3455.40,0.5058,0,47,1
181,43,5713.43,0.4604,0,161,0
182,19,5848.75,0.4529,0,61,0
183,46,8056.66,0.1037,0,113,0
184,66,4008.70,0.0000,0,69,0
185,75,5264.75,0.4314,0,92,0
186,31,4075.55,0.3053,0,169,0
187,22,2394.52,1.0240,1,98,0
188,23,4631.86,0.0000,0,5,0
189,25,1545.32,0.3929,0,3,0
190,31,5567.81,0.3039,0,3,0
191,30,6043.19,0.5944,0,98,0
192,27,6090.32,0.3735,0,164,0
193,58,6326.33,0.3605,0,26,0
194,57,8790.09,0.2504,1,158,0
195,25,5352.82,0.3617,0,73,0
196,70,3914.39,0.0336,0,160,0
197,74,6070.78,0.8041,1,115,0
198,62,900.00,0.8285,1,71,1
199,55,4934.83,0.9456,2,80,1
200,65,3401.50,0.4901,0,103,0
201,63,8392.96,0.3041,0,94,0
202,68,6152.99,0.7230,0,134,0
203,74,3577.98,0.3691,0,119,0
204,44,5951.85,0.3723,0,122,0
205,51,3775.55,0.5243,0,57,0
206,60,10167.28,0.0860,0,164,0
207,36,4958.34,0.1368,0,175,0
208,64,5002.59,0.5199,0,45,0
209,56,4509.39,0.1916,0,47,0
210,70,1049.42,0.3110,0,91,0
211,69,7759.53,0.5273,0,125,0
212,55,4309.92,0.2396,1,127,0
213,46,2531.18,0.2611,0,164,0
214,32,8237.13,0.5995,1,115,0
215,21,5363.74,0.5577,1,149,0
216,41,8354.93,0.2120,1,39,0
217,66,6092.30,0.5432,0,112,0
218,68,4530.99,0.7032,0,151,0
219,28,5904.75,0.5241,1,121,0
220,46,2749.15,0.8837,1,176,0
221,42,3265.30,0.2973,0,153,0
222,19,5410.75,0.5784,1,72,0
223,35,4034.33,0.2306,0,171,0
224,37,1775.23,0.3571,0,63,0
225,28,5651.22,0.4752,0,37,0
