renda_mensal,comprometimento_renda,atrasos_30d,consultas_credito,saldo_medio,target
3645.81,0.5721,0,3,882.06,0
4104.36,0.6903,0,4,763.14,0
12687.23,0.1734,0,6,3420.53,0
700.00,0.4115,0,3,127.56,0
4156.58,0.2604,0,7,4820.46,0
1646.55,0.4369,0,3,2752.49,0
10408.91,0.5305,1,1,3421.92,1
2981.02,0.0200,0,7,2193.77,0
7876.73,0.0943,0,5,2138.58,0
5360.77,0.1794,1,5,0.00,0
3927.42,0.3170,0,7,2305.62,0
7463.02,0.4973,1,2,4778.23,0
700.00,0.6085,1,6,0.00,0
4455.18,0.1622,0,6,1822.31,0
2803.52,0.2319,0,2,0.00,1
7285.60,0.4151,1,6,1380.11,0
8778.35,0.2268,0,3,2592.65,0
6835.33,0.6683,0,3,1672.07,0
10288.57,0.2963,1,2,2324.85,0
8106.20,0.1881,0,4,3585.16,0
7843.39,0.1814,0,3,2910.85,0
5796.50,0.5939,0,7,257.68,0
4459.59,0.4004,0,1,2695.15,0
4518.32,0.7621,1,0,2129.53,1
8185.45,0.5429,0,6,2442.56,0
5385.09,0.2626,0,5,6317.92,0
1843.21,0.5650,0,8,4085.46,0
8899.66,0.0200,1,2,1078.92,0
4459.11,0.5299,0,5,1148.81,0
700.00,0.3257,0,3,4465.80,0
6906.82,0.2905,0,2,3675.32,1
4622.81,0.1489,0,5,1897.11,0
3529.36,0.4852,0,8,2253.38,1
11693.75,0.5103,0,2,4280.26,1
8205.54,0.3807,0,5,1139.10,0
7230.43,0.6000,1,4,4988.49,1
7063.67,0.4058,0,4,4701.39,0
2225.44,0.2993,0,5,500.66,0
5069.74,0.2461,1,4,1150.93,0
9922.68,0.3346,0,6,0.00,0
4031.90,0.0200,0,6,2265.94,0
11148.21,0.1923,0,3,3020.33,0
8111.32,0.4433,1,1,0.00,1
7029.59,0.4728,0,6,8.43,0
7741.56,0.4314,0,6,2339.12,0
6603.92,0.1751,0,2,0.00,0
8492.56,0.3838,0,3,2495.12,0
5403.19,0.3610,1,3,1718.69,0
7105.13,0.0200,0,4,4038.26,0
700.00,0.2686,0,5,2638.80,0
12634.50,0.3565,0,1,2770.07,0
2411.14,0.5440,0,8,2193.65,1
6938.85,0.0762,0,7,1704.79,0
4805.50,0.5222,0,8,284.21,1
3839.47,0.5612,0,2,897.89,1
7415.58,0.4433,0,5,3626.53,0
5853.23,0.0200,0,0,1451.29,0
8245.11,0.3473,0,4,2235.23,1
700.00,0.2462,0,3,932.70,0
3958.06,0.1911,1,1,1675.20,0
3072.21,0.0200,0,1,118.87,0
7485.77,0.0200,0,4,44.32,0
9019.70,0.4150,0,7,1793.95,0
4865.81,0.4195,0,4,2988.46,1
7738.91,0.3203,2,3,2295.23,0
2895.60,0.3824,0,4,3119.30,0
5552.72,0.4305,0,7,217.22,0
6695.30,0.4563,0,1,1467.09,0
4357.50,0.0200,0,7,0.00,0
6083.73,0.2182,0,5,1578.78,0
6298.31,0.1206,0,3,3254.30,0
5596.14,0.1810,0,1,0.00,1
3818.10,0.4752,1,3,543.64,0
7197.91,0.3174,0,4,3526.67,0
3694.45,0.4754,0,5,3749.31,0
700.00,0.6549,0,6,1078.78,1
12346.23,0.5249,1,5,536.47,0
10423.57,0.1591,0,2,3149.01,0
8669.60,0.3633,0,6,229.63,0
12476.39,0.5258,0,1,0.00,0
3201.19,0.2139,0,0,0.00,0
2857.49,0.2905,0,4,0.00,0
5049.11,0.0200,1,3,371.37,0
9595.70,0.6866,0,3,2912.62,0
2878.61,0.2928,0,1,0.00,0
6393.96,0.1750,0,1,2596.10,0
6611.17,0.1690,0,3,2919.44,0
4139.84,0.4415,0,6,4552.12,0
3730.70,0.4368,1,4,791.59,1
10831.41,0.2660,1,2,3317.87,0
4447.21,0.2874,0,3,0.00,0
7086.93,0.0285,0,6,3417.60,0
7515.90,0.5581,0,4,0.00,1
5122.18,0.2982,1,7,693.87,0
7435.17,0.3779,0,6,2106.09,0
8236.13,0.2846,0,4,0.00,0
7142.98,0.6247,1,8,4112.10,0
9804.13,0.6497,0,7,51.57,0
4271.94,0.5571,0,3,3631.17,0
1567.85,0.6190,0,7,1393.31,0
4148.08,0.0200,1,7,3332.16,0
9502.04,0.3117,1,5,1776.28,0
1706.79,0.2561,0,5,4729.87,0
2629.22,0.6363,1,7,4044.09,1
4443.53,0.3824,0,1,2079.46,0
7848.24,0.0453,0,4,1510.04,0
9484.38,0.2405,0,2,1108.26,0
9099.08,0.1707,0,4,4240.06,0
3488.41,0.0200,0,4,3493.85,1
8720.95,0.6199,1,7,825.27,1
2053.71,0.3648,0,3,509.35,0
4653.56,0.3874,1,4,3264.39,0
1629.42,0.4422,0,4,2388.51,0
700.00,0.5634,0,7,1039.30,1
9431.25,0.3033,0,8,428.05,0
5060.79,0.2487,1,5,0.00,0
2645.76,0.3800,0,0,130.58,0
718.94,0.5307,1,8,2653.20,0
1804.72,0.1875,0,3,1739.42,0
7150.66,0.4008,0,5,4136.24,0
5669.25,0.2787,0,7,1732.32,0
4965.63,0.5769,0,2,1195.90,0
3760.39,0.2220,1,1,1815.98,0
2771.88,0.1910,0,4,238.85,0
700.00,0.2120,0,7,0.00,1
8718.76,0.2873,0,7,0.00,0
10256.59,0.4472,0,1,5386.09,0
4061.65,0.1470,1,0,584.38,0
700.00,0.6000,0,2,2563.50,0
4811.85,0.1379,0,5,0.00,0
2636.78,0.2352,0,3,3503.18,0
1567.73,0.3273,1,3,1796.51,0
5509.05,0.4615,0,6,2503.75,0
4841.27,0.4485,1,5,2669.09,0
1761.50,0.5037,0,4,0.00,0
6179.90,0.0200,1,0,1446.07,0
8968.87,0.4450,0,5,1818.23,0
4149.66,0.0980,0,5,2925.06,0
6464.76,0.0898,0,3,1803.46,0
6202.47,0.1780,0,1,1724.87,0
2532.22,0.3326,0,4,3096.20,0
5946.26,0.2067,0,4,1511.82,0
9183.66,0.0200,1,6,4444.47,1
8984.22,0.4906,0,8,3304.20,0
9959.89,0.3664,2,5,2909.90,0
5808.57,0.0624,0,5,2661.09,0
7363.11,0.2904,0,2,0.00,0
4339.84,0.0304,1,2,2676.99,0
8028.68,0.4261,1,7,2074.14,0
6971.99,0.4967,0,5,0.00,0
4435.53,0.0956,0,7,2140.94,0
5735.84,0.4595,1,1,2105.78,0
7148.78,0.5522,0,7,0.00,0
700.00,0.3986,0,1,0.00,0
6706.31,0.5405,0,2,4984.78,0
10917.81,0.5164,1,6,1087.25,0
8918.50,0.5772,1,5,1516.46,1
4208.51,0.2221,1,7,3812.09,1
5499.01,0.4041,1,3,0.00,0
9760.64,0.1545,0,7,2218.28,0
8934.39,0.0958,0,1,1324.73,0
7995.06,0.0200,1,6,1273.25,0
6843.17,0.4806,0,4,2269.60,0
8951.85,0.3278,0,6,588.00,0
4782.02,0.2584,0,6,219.80,0
7032.46,0.6103,0,5,2294.98,0
7445.40,0.3568,0,6,2080.44,0
5704.46,0.3678,0,7,1277.26,0
9039.29,0.5082,0,5,0.00,0
6483.54,0.2447,0,0,725.18,0
3496.64,0.0200,0,5,883.64,0
3234.90,0.1737,0,3,1262.61,0
3909.61,0.5910,0,0,2353.68,1
2232.60,0.2855,0,6,0.00,0
10668.29,0.4977,0,3,2371.11,0
3506.03,0.1815,0,4,1470.45,0
3737.02,0.2239,0,3,3518.63,0
5416.38,0.2605,0,4,1994.21,0
5629.60,0.6406,0,0,2165.44,0
