id,x1,x2,x3,x4,target
1,0.9715,-1.3419,0.0855,-0.8574,1.4574
2,-1.4245,0.7046,-0.8192,0.1886,-1.2059
3,1.2217,-0.1359,1.4318,-0.8667,0.8175
4,-0.3921,0.1075,-0.3381,0.5868,-1.1237
5,-1.4236,0.1376,-0.9442,0.7573,-2.5822
6,1.5117,1.1500,1.6899,0.5338,0.7014
7,0.6503,0.3843,-0.1215,-0.6732,-0.2614
8,1.5657,2.3269,1.9710,0.6199,1.4980
9,-0.7667,0.9542,-0.1246,-0.1431,-1.0169
10,-1.5139,-0.1335,-1.6192,-0.0199,-1.9132
11,0.7915,0.3774,0.7682,0.1365,0.0547
12,1.5811,1.7749,0.5490,0.0508,0.6987
13,-0.5621,1.7499,0.1993,0.3486,-1.4533
14,-0.2258,-0.2261,-0.0279,-0.5162,-1.0835
15,0.9275,0.5865,0.6548,-0.6865,1.3403
16,-0.6115,1.6676,0.3716,0.7778,-1.2308
17,-2.2853,0.0701,-0.8983,-0.8553,-2.3674
18,0.1384,2.8905,-0.3155,0.3732,-1.7509
19,0.0782,-1.1811,0.3020,0.0352,0.6363
20,1.2013,0.0430,1.5099,0.2769,0.9423
21,-2.4907,-0.9115,-0.8982,0.1419,-2.1680
22,1.1664,-0.7611,1.0171,-0.6291,2.0306
23,-0.0124,-0.7433,0.6578,0.2404,0.1866
24,0.3092,0.1826,-0.2114,0.0389,0.6741
25,0.4107,0.6322,0.7085,0.1079,0.1822
26,-0.0196,-0.3115,0.8312,-0.7636,0.6137
27,-0.7896,-0.1294,-0.6612,-0.4245,-0.7800
28,-0.4546,0.0396,-0.3273,0.2682,-1.1325
29,-0.5043,0.4302,0.6876,-0.9924,-0.4942
30,0.5835,2.1270,0.3130,0.9338,-0.0470
31,-0.8534,-0.1371,-0.9725,-0.2665,-0.7333
32,0.0328,-1.3788,-1.0542,0.9960,0.4253
33,0.8091,-0.1912,0.9058,-0.1998,0.8761
34,-1.1796,-1.1929,-0.7721,-0.2693,-1.2011
35,-0.9715,0.2683,-1.4031,0.4672,-1.0656
36,0.0760,-0.6497,0.3629,0.2668,0.6632
37,-1.3685,0.1467,-1.5989,-0.7619,-2.1337
38,1.1309,-0.6465,0.6595,0.1356,1.4832
39,0.3999,-1.0377,0.0690,0.0565,0.0889
40,0.1030,0.5861,0.4331,0.5531,0.7409
41,0.0454,0.9816,1.1086,-0.3010,0.0511
42,0.1423,-1.2251,0.3391,-0.9209,1.0174
43,-1.1620,1.2737,-1.3991,-0.4869,-1.8916
44,-0.9373,0.0769,-0.8244,-0.9455,-0.4993
45,-0.7355,0.9325,-0.6847,0.5828,-1.1420
46,-0.4447,2.6416,0.7410,-0.7545,-0.6295
47,0.1056,-0.2950,0.4849,0.3022,0.6299
48,0.2748,0.8999,-0.0886,0.0386,0.0814
49,-0.8544,-0.3474,-0.1650,0.3034,0.0060
50,0.7544,-0.2915,-0.3508,0.9614,2.0576
51,-0.5853,-0.3398,-0.3916,-0.1372,0.3084
52,-0.3421,0.4765,-0.2320,-0.1216,-0.2944
53,0.7167,0.0916,-0.2424,0.4085,0.9113
54,-0.2716,0.4240,-0.4026,-0.4537,-0.5693
55,2.0351,0.6325,1.1402,-0.2909,2.0026
56,-0.5247,1.8287,-0.1556,-0.0564,-1.5910
57,1.5199,0.2494,1.3472,-0.1434,1.8632
58,-1.8360,-1.4420,-0.4366,-0.4665,-1.2248
59,0.7937,1.1436,0.0212,-0.6083,0.7211
60,0.4997,-0.3918,0.4862,-0.9981,0.8711
61,1.2320,1.2209,0.9305,-0.0156,1.0889
62,-1.0079,-0.6693,-1.1041,-0.3343,-0.2465
63,0.4941,0.7789,0.8306,0.1028,0.0377
64,1.1241,0.4374,0.7633,-0.7146,1.2497
65,0.6019,-0.6828,0.2641,-0.8060,1.1684
66,-1.3998,-1.1652,-1.6956,-0.9278,-0.8885
67,-0.6920,0.8663,-0.3384,0.2046,-1.9216
68,2.2858,0.7956,2.1493,0.8805,2.1038
69,0.5236,-0.1408,0.2422,0.8926,0.4597
70,1.5378,-0.3228,0.7697,-0.4657,1.7525
71,-2.0342,-0.5698,-1.0335,-0.5376,-1.4862
72,0.3239,0.3311,0.0150,-0.4047,0.4466
73,-2.5751,2.1096,-1.6652,0.7153,-3.7680
74,-0.0957,-1.4581,-0.5919,-0.7556,0.3827
75,-0.7480,-0.7809,-0.4794,-0.7350,-0.6273
76,-2.0058,0.3756,-0.9903,-0.0377,-2.0822
77,0.0306,0.3513,0.3727,-0.4375,-0.0298
78,-0.5809,0.8066,-0.5404,-0.0335,-1.3177
79,-1.2183,-3.1097,-0.8909,0.6117,-0.4080
80,-0.1675,-0.2356,0.2408,-0.4678,1.0010
81,-0.3097,2.6663,-0.6571,-0.5175,-2.7466
82,0.3771,-0.4614,-0.8573,0.0019,0.4119
83,-0.4164,0.7846,-0.8055,0.1488,-0.6984
84,1.3341,-1.1142,1.4960,-0.8857,2.3944
85,-0.5344,1.4405,-0.3461,-0.0682,-1.5096
86,-0.8284,-0.6309,0.8979,-0.1313,-0.6091
87,0.3279,0.0058,0.4303,-0.9642,0.8732
88,1.0133,0.2249,0.7733,0.1211,0.6669
89,-0.2027,-0.0981,-0.7796,0.4427,-0.4549
90,-1.4226,-0.7331,-1.5034,0.1007,-1.4410
91,0.2599,-0.0567,-0.2849,-0.0769,-0.7714
92,0.0699,0.0416,-0.2634,0.6725,1.1031
93,1.0351,0.1788,1.2928,0.2312,1.6823
94,1.0692,-0.9286,0.2393,-0.9295,0.9209
95,0.9567,-1.3362,1.1902,-0.1776,1.1320
96,0.6249,-0.9530,0.1241,0.6159,0.1641
97,0.3534,1.7439,0.0480,-0.2247,-0.5979
98,0.7321,0.7165,0.3391,-0.7544,0.2557
99,0.2910,-0.1153,-0.3481,-0.8495,0.4990
100,0.3747,-0.0038,0.1389,0.1183,0.0715
101,1.1566,-0.3310,1.5130,-0.1053,1.5176
102,1.0049,-0.2183,0.6148,0.7818,1.2373
103,0.2339,-2.1415,0.6661,-0.2715,2.3703
104,0.2280,-1.3857,0.3016,0.9879,1.8679
105,-0.0992,-2.2640,0.5780,0.3649,1.4437
106,-0.4252,-1.4636,-0.4602,-0.1399,0.4400
107,1.1981,0.0858,0.2382,-0.9826,1.2471
108,0.9646,1.3100,0.4540,0.3790,-0.1532
109,-0.5453,1.7778,-1.6112,0.5945,-0.6178
110,0.5031,1.4171,0.2627,-0.3246,-0.7407
111,-0.3010,-1.0184,0.2305,0.3712,0.5168
112,0.5216,0.6882,-0.2294,-0.9608,0.8784
113,-1.6351,1.0147,-0.7933,-0.6009,-2.2637
114,0.0169,-1.2934,0.2011,0.4804,0.7623
115,-0.3030,0.1167,-0.5202,-0.4114,-0.1839
116,-0.3763,-0.8100,0.4406,0.7534,0.3875
117,0.2908,-1.6049,-0.6811,-0.5984,0.4930
118,0.0964,-0.8721,-0.7205,-0.4066,1.4339
119,-1.4083,-0.6625,-0.9114,0.5449,-0.9918
120,-1.6506,0.1378,-0.9107,0.1408,-0.8642
121,0.6913,1.4322,0.8271,0.0910,-0.0155
122,-0.4128,-1.4038,0.0825,0.7750,-0.0699
123,-0.6098,-0.4495,-0.9560,-0.8144,-0.9699
124,-2.2562,1.0154,-1.6955,0.4629,-3.1728
125,0.2046,0.1227,0.2526,0.0705,0.1260
126,0.2280,-0.6938,0.2653,0.8796,0.4078
127,1.5348,0.5806,1.3872,-0.3380,1.0506
128,1.3156,0.5990,0.8901,-0.4039,0.9583
129,0.1187,-0.3970,0.5631,-0.4733,0.4553
130,-0.7140,-0.6938,-0.2252,0.1896,-1.2628
131,0.6721,0.5168,1.2268,0.8910,1.4093
132,-1.6622,-0.5459,-1.0471,0.8274,-2.2075
133,0.1288,1.1490,-0.1886,0.4498,-0.2889
134,-1.1157,-0.8108,-1.3576,-0.6636,-0.8452
135,0.4775,0.1416,-0.1427,0.3197,0.4873
136,-0.7650,0.6656,-0.6536,-0.3713,-1.1771
137,-1.5450,0.4803,-1.1200,0.6383,-2.8370
138,-1.2918,-0.1349,-0.5610,0.2164,-1.2059
139,2.3809,0.2135,1.6813,0.1768,2.1464
140,-0.7002,-0.1433,-1.1557,0.0654,-1.0235
141,0.9018,-1.3831,0.2010,0.0170,1.8445
142,-2.1781,0.7585,-2.1666,0.8069,-2.5605
143,-0.3807,0.0075,0.1374,-0.0088,-0.2646
144,0.2972,-1.7906,-0.1419,0.9963,1.1829
145,0.9097,1.7665,0.8335,0.3014,-0.3798
146,2.3143,1.5315,0.9584,0.2886,2.1532
147,0.3970,-1.2937,0.6870,-0.3409,1.5309
148,0.0709,0.5927,-0.9967,0.7207,-0.0835
149,1.1205,-0.9053,0.4453,-0.4613,1.5389
150,0.2147,0.2713,-0.1941,-0.6183,0.2745
151,0.1902,0.0127,0.4003,-0.1577,0.9368
152,1.4910,1.0434,0.0098,-0.7713,1.1877
