id,area_m2,quartos,distancia_centro_km,idade_imovel,aluguel
1,53.86,1,24.17,13.51,831.74
2,171.07,3,19.42,35.90,1804.68
3,182.94,4,5.55,23.85,2411.02
4,88.77,5,8.24,17.12,1619.59
5,110.93,1,7.77,8.98,1264.80
6,92.49,2,16.82,26.67,1273.21
7,141.78,4,8.90,14.87,1896.73
8,95.19,4,3.67,32.03,1574.39
9,158.16,2,21.87,22.17,1574.04
10,38.57,5,11.94,44.17,954.66
11,168.96,5,18.21,18.59,2448.74
12,134.37,1,11.44,3.02,1729.99
13,122.74,5,18.69,26.39,1599.18
14,66.62,4,5.48,41.16,1383.71
15,188.34,3,2.19,0.11,2338.66
16,88.31,3,15.11,11.11,1287.74
17,48.47,2,19.12,15.59,807.10
18,150.83,2,8.86,8.20,1868.52
19,117.17,4,6.78,12.67,1901.31
20,89.73,4,20.46,31.96,1146.31
21,77.19,3,14.83,30.36,928.77
22,155.17,4,4.65,0.29,2130.36
23,78.13,3,16.26,39.34,1070.11
24,140.54,4,23.72,37.10,1584.85
25,81.35,3,26.21,17.90,1067.07
26,87.60,5,20.62,20.05,1300.65
27,82.55,3,25.92,28.87,1199.84
28,191.71,1,9.53,41.60,2042.29
29,207.91,3,8.03,21.07,2355.83
30,95.47,1,9.60,27.50,1239.59
31,84.89,2,18.72,35.41,937.31
32,144.28,1,6.71,8.41,1533.17
33,173.41,3,22.84,21.50,1908.65
34,202.22,4,11.10,31.36,2366.69
35,48.53,4,13.49,12.51,1104.81
36,131.70,4,5.66,14.15,1745.77
37,190.41,2,10.16,21.76,2132.33
38,145.32,4,6.64,36.93,2013.54
39,202.70,5,17.01,26.02,2303.58
40,183.37,3,17.67,1.57,2089.75
41,105.02,2,19.36,6.65,1101.98
42,35.41,3,0.86,30.55,807.05
43,50.76,2,19.81,31.13,699.78
44,169.42,4,23.83,18.50,1735.82
45,165.85,2,10.35,8.44,1892.25
46,36.78,3,20.39,0.59,988.69
47,89.71,5,7.67,23.45,1726.94
48,206.81,2,9.81,43.40,2063.26
49,184.07,4,6.01,6.27,2392.69
50,149.00,1,2.41,40.02,1845.24
51,120.86,2,16.94,24.16,1512.95
52,86.61,5,2.29,27.45,1811.46
53,144.80,1,8.29,19.56,1698.02
54,89.89,5,21.04,35.56,1217.35
55,91.91,5,9.56,34.21,1488.03
56,62.54,4,23.22,18.21,958.72
57,109.72,4,14.19,35.52,1415.74
58,179.68,2,11.42,23.33,1977.70
59,50.13,1,15.88,2.61,833.15
60,120.82,5,17.77,4.87,1550.10
61,130.94,4,19.41,40.70,1799.93
62,166.43,3,27.58,41.15,1685.38
63,106.88,2,13.15,33.75,1484.74
64,71.18,2,8.09,24.98,1090.28
65,176.13,2,9.72,21.57,1871.90
66,132.74,5,26.01,17.36,1562.27
67,53.34,1,15.86,23.78,670.64
68,99.18,4,24.75,37.89,1184.37
69,64.87,2,24.19,24.27,857.99
70,63.66,4,15.05,11.14,1263.21
71,67.51,1,13.75,31.13,873.96
72,159.76,1,11.99,14.55,1446.08
73,136.27,2,10.04,3.25,1833.63
74,55.86,1,9.97,39.55,835.61
75,172.46,3,9.58,30.93,2019.11
76,192.07,2,14.70,19.10,2200.30
77,127.84,2,1.38,44.18,2036.57
78,88.09,4,17.82,30.92,1322.55
79,65.80,4,16.73,43.71,1171.57
80,75.49,4,3.12,11.81,1593.66
81,45.60,2,5.53,15.73,831.48
82,72.82,2,24.04,40.04,1149.24
83,40.44,3,16.43,7.96,956.98
84,46.96,3,7.35,3.74,1102.01
85,145.47,3,17.26,0.55,1953.91
86,189.21,3,8.81,4.69,2288.16
87,116.56,1,14.83,26.87,1164.67
88,139.52,1,1.55,22.89,1586.16
89,205.85,1,20.68,20.24,1836.69
90,57.26,2,21.14,33.90,878.94
91,84.90,3,3.79,44.11,1627.02
92,82.11,1,13.93,26.88,1247.36
93,71.54,2,6.89,44.38,1093.33
94,173.26,5,2.73,12.65,2631.49
95,101.20,3,21.38,28.65,1395.86
96,200.64,2,14.46,32.32,2125.02
97,208.79,3,7.41,13.70,2435.17
98,206.44,3,5.60,8.27,2329.61
99,31.96,3,4.23,38.65,891.32
100,80.31,5,0.39,10.59,1753.07
101,111.72,3,3.35,12.23,1562.81
102,96.94,2,19.38,38.21,1242.19
103,71.44,3,19.53,29.44,1083.67
104,209.12,1,27.41,0.27,1837.57
105,139.93,4,18.29,3.50,1599.76
106,174.97,5,24.47,9.58,2191.61
107,109.90,2,8.82,35.54,1486.94
108,122.70,2,18.69,31.14,1433.86
109,127.34,1,3.00,30.91,1639.13
110,121.23,4,18.85,10.12,1659.00
111,193.09,5,23.54,6.73,2247.51
112,70.36,4,23.57,39.69,1100.60
113,162.33,1,15.79,27.08,1440.34
114,188.60,3,18.71,5.74,2236.30
115,93.00,2,0.31,18.18,1453.05
116,82.41,5,2.04,1.23,1650.68
117,119.10,1,26.73,42.22,1098.09
118,185.07,5,4.79,24.72,2381.71
119,149.81,4,27.99,44.72,1748.30
120,38.70,1,2.99,8.53,840.55
121,100.29,4,17.53,36.70,1273.31
122,177.91,5,10.47,18.32,2306.80
123,145.21,5,14.44,19.03,2090.50
124,198.42,5,8.16,27.10,2699.73
125,170.86,2,13.21,2.55,1819.81
126,39.14,3,15.66,28.10,709.39
127,166.82,5,13.07,39.04,2176.57
128,31.16,2,1.85,1.90,928.32
129,103.16,4,17.53,9.09,1469.19
130,172.13,3,10.34,29.70,2177.43
131,43.97,4,5.15,4.31,1262.92
132,209.24,3,14.47,0.76,2475.09
133,33.36,1,20.13,37.63,430.46
134,179.61,4,3.97,38.27,2274.71
135,54.69,3,5.80,31.47,967.62
136,201.19,4,27.69,34.26,2108.37
137,49.03,2,19.46,10.15,693.26
138,152.81,1,8.57,25.34,1876.75
139,203.91,5,17.84,28.74,2344.80
140,106.67,1,21.44,2.20,1371.89
141,148.01,5,5.45,12.19,2239.58
142,81.89,5,23.56,7.39,1267.73
143,53.04,5,1.28,4.56,1545.15
144,72.41,1,22.66,36.65,987.47
145,208.54,4,13.91,34.63,2481.04
146,87.65,4,22.38,35.88,1368.47
147,180.62,2,26.64,30.17,1830.05
148,169.58,5,15.75,26.54,2333.58
149,150.60,3,0.69,44.67,2246.84
150,34.40,2,24.81,43.92,666.93
151,54.37,1,23.97,36.37,790.58
152,192.35,3,22.81,33.82,2107.18
153,108.56,3,11.61,25.80,1632.51
154,144.19,1,3.14,44.40,1854.22
155,54.39,1,23.64,29.27,501.92
