cliente_id,renda_mensal,saldo_medio,valor_transacao
CLI-001,4500.0,817.92,187.12
CLI-002,3200.0,427.85,201.21
CLI-003,2800.0,981.25,267.77
CLI-004,3800.0,278.79,189.04
CLI-005,6500.0,4160.8,54.09
CLI-006,3800.0,435.24,294.87
CLI-007,6500.0,3500.27,455.52
CLI-008,5200.0,669.29,249.68
CLI-009,2200.0,1130.2,110.52
CLI-010,6500.0,4519.61,253.34
CLI-011,4500.0,2632.09,253.59
CLI-012,8200.0,6318.24,294.96
CLI-013,6500.0,3617.65,582.93
CLI-014,4500.0,331.23,224.22
CLI-015,3200.0,2310.37,38.43
CLI-016,3800.0,1595.77,103.73
CLI-017,5200.0,1829.09,303.92
CLI-018,3800.0,2770.97,3200.0
CLI-019,3800.0,2684.7,84.56
CLI-020,3800.0,883.0,112.64
CLI-021,6500.0,2478.65,343.75
CLI-022,2800.0,1559.81,245.22
CLI-023,2800.0,1578.35,112.16
CLI-024,6500.0,4731.3,79.0
CLI-025,3800.0,231.88,278.21
CLI-026,3200.0,45.76,576.44
CLI-027,5200.0,1897.97,634.29
CLI-028,4500.0,2974.5,121.21
CLI-029,3200.0,1678.66,405.63
CLI-030,5200.0,2679.1,176.07
CLI-031,2800.0,954.81,51.7
CLI-032,2800.0,945.19,159.08
CLI-033,5200.0,4049.36,293.44
CLI-034,3800.0,2341.39,213.28
CLI-035,3200.0,518.57,538.73
CLI-036,3200.0,716.01,449.35
CLI-037,4500.0,3394.48,87.01
CLI-038,2200.0,1120.91,117.01
CLI-039,6500.0,931.82,345.77
CLI-040,3200.0,2421.13,121.29
CLI-041,3800.0,998.2,66.23
CLI-042,8200.0,2246.2,93.7
CLI-043,2800.0,1222.94,215.45
CLI-044,3800.0,2913.0,225.64
CLI-045,5200.0,1871.84,96.61
CLI-046,8200.0,906.1,568.56
CLI-047,3200.0,1982.36,371.81
CLI-048,5200.0,3037.79,29.67
CLI-049,2800.0,1479.18,178.42
CLI-050,8200.0,2141.34,103.69
CLI-051,4500.0,2677.54,110.42
CLI-052,2200.0,1500.53,106.25
CLI-053,6500.0,2844.04,299.53
CLI-054,4500.0,1938.42,222.03
CLI-055,2800.0,1106.84,6900.0
CLI-056,3800.0,1494.89,53.5
CLI-057,2200.0,581.79,53.5
CLI-058,3200.0,578.92,154.37
CLI-059,2800.0,663.36,168.3
CLI-060,3200.0,484.43,108.43
CLI-061,3200.0,838.98,75.55
CLI-062,6500.0,3866.57,369.01
CLI-063,3200.0,1911.64,463.84
CLI-064,4500.0,1224.74,87.66
CLI-065,4500.0,1701.67,1405.09
CLI-066,4500.0,2593.92,102.62
CLI-067,2800.0,63.26,598.52
CLI-068,6500.0,177.03,30.65
CLI-069,3800.0,514.96,211.08
CLI-070,6500.0,2540.36,154.96
CLI-071,3800.0,1280.36,199.81
CLI-072,3800.0,2293.83,541.07
CLI-073,2800.0,262.31,80.52
CLI-074,3200.0,1129.83,97.29
CLI-075,2200.0,1904.04,159.26
CLI-076,6500.0,1396.95,86.65
CLI-077,18000.0,8884.63,454.22
CLI-078,26000.0,17476.16,92.67
CLI-079,48000.0,28126.31,14500.0
CLI-080,90000.0,32892.5,139.17
