cliente_id,grupo,recuperou,valor_recuperado
C0000,controle,0,0.0
C0001,controle,0,0.0
C0002,tratamento,0,0.0
C0003,controle,0,0.0
C0004,tratamento,0,0.0
C0005,tratamento,0,0.0
C0006,controle,0,0.0
C0007,controle,0,0.0
C0008,tratamento,1,12.31
C0009,controle,0,0.0
C0010,tratamento,1,350.22
C0011,tratamento,0,0.0
C0012,tratamento,0,0.0
C0013,controle,0,0.0
C0014,controle,0,0.0
C0015,controle,0,0.0
C0016,controle,0,0.0
C0017,controle,0,0.0
C0018,controle,1,780.95
C0019,tratamento,0,0.0
C0020,tratamento,1,427.97
C0021,tratamento,0,0.0
C0022,controle,0,0.0
C0023,tratamento,1,689.72
C0024,controle,0,0.0
C0025,tratamento,1,529.03
C0026,controle,0,0.0
C0027,controle,0,0.0
C0028,controle,0,0.0
C0029,tratamento,1,67.76
C0030,tratamento,1,736.74
C0031,tratamento,0,0.0
C0032,controle,0,0.0
C0033,tratamento,0,0.0
C0034,tratamento,1,217.89
C0035,controle,0,0.0
C0036,controle,0,0.0
C0037,tratamento,0,0.0
C0038,tratamento,0,0.0
C0039,controle,0,0.0
C0040,tratamento,0,0.0
C0041,tratamento,1,471.76
C0042,controle,0,0.0
C0043,tratamento,0,0.0
C0044,tratamento,1,286.72
C0045,controle,0,0.0
C0046,controle,0,0.0
C0047,controle,1,345.24
C0048,tratamento,1,933.68
C0049,tratamento,0,0.0
C0050,tratamento,0,0.0
C0051,tratamento,0,0.0
C0052,tratamento,1,398.31
C0053,controle,0,0.0
C0054,tratamento,0,0.0
C0055,controle,0,0.0
C0056,tratamento,0,0.0
C0057,controle,1,890.91
C0058,tratamento,1,608.6
C0059,tratamento,1,158.97
C0060,controle,1,780.76
C0061,tratamento,1,274.34
C0062,tratamento,1,104.25
C0063,tratamento,0,0.0
C0064,controle,0,0.0
C0065,controle,0,0.0
C0066,controle,0,0.0
C0067,controle,0,0.0
C0068,tratamento,0,0.0
C0069,tratamento,0,0.0
C0070,tratamento,0,0.0
C0071,tratamento,0,0.0
C0072,tratamento,0,0.0
C0073,controle,0,0.0
C0074,tratamento,1,806.47
C0075,controle,0,0.0
C0076,controle,1,869.88
C0077,controle,0,0.0
C0078,controle,0,0.0
C0079,controle,1,418.4
C0080,tratamento,0,0.0
C0081,controle,0,0.0
C0082,controle,0,0.0
C0083,controle,1,550.45
C0084,tratamento,0,0.0
C0085,controle,1,56.94
C0086,tratamento,0,0.0
C0087,tratamento,0,0.0
C0088,tratamento,0,0.0
C0089,controle,0,0.0
C0090,tratamento,1,491.16
C0091,controle,0,0.0
C0092,tratamento,1,82.46
C0093,controle,0,0.0
C0094,tratamento,0,0.0
C0095,controle,0,0.0
C0096,tratamento,0,0.0
C0097,controle,0,0.0
C0098,controle,1,277.18
C0099,controle,0,0.0
C0100,tratamento,1,296.19
C0101,tratamento,0,0.0
C0102,tratamento,0,0.0
C0103,tratamento,1,352.78
C0104,tratamento,1,582.55
C0105,tratamento,1,549.52
C0106,controle,0,0.0
C0107,tratamento,0,0.0
C0108,controle,0,0.0
C0109,controle,1,450.74
C0110,controle,1,517.23
C0111,tratamento,1,549.99
C0112,tratamento,0,0.0
C0113,controle,0,0.0
C0114,tratamento,1,900.96
C0115,tratamento,1,848.8
C0116,tratamento,0,0.0
C0117,tratamento,0,0.0
C0118,controle,0,0.0
C0119,tratamento,1,391.53
C0120,tratamento,1,795.26
C0121,tratamento,0,0.0
C0122,tratamento,0,0.0
C0123,tratamento,0,0.0
C0124,tratamento,0,0.0
C0125,controle,0,0.0
C0126,controle,0,0.0
C0127,controle,1,336.89
C0128,tratamento,1,740.1
C0129,controle,0,0.0
C0130,tratamento,0,0.0
C0131,controle,1,202.89
C0132,tratamento,0,0.0
C0133,tratamento,0,0.0
C0134,controle,1,390.33
C0135,tratamento,0,0.0
C0136,controle,1,356.97
C0137,controle,0,0.0
C0138,controle,0,0.0
C0139,tratamento,0,0.0
C0140,controle,1,429.87
C0141,tratamento,0,0.0
C0142,tratamento,0,0.0
C0143,controle,0,0.0
C0144,tratamento,1,600.13
C0145,tratamento,0,0.0
C0146,tratamento,0,0.0
C0147,controle,0,0.0
C0148,tratamento,1,542.48
C0149,controle,0,0.0
C0150,controle,0,0.0
C0151,tratamento,0,0.0
C0152,tratamento,1,613.5
