cliente_id,renda_mensal,uso_limite,tempo_relacionamento_meses,frequencia_transacoes
CLI-0001,2767.76,0.6022,109,77
CLI-0002,3160.75,0.3839,1,75
CLI-0003,4634.58,0.3068,106,67
CLI-0004,4969.05,0.4921,113,43
CLI-0005,1080.69,0.3428,212,45
CLI-0006,1927.97,0.806,139,2
CLI-0007,1944.03,0.3326,102,4
CLI-0008,3658.54,0.2183,122,36
CLI-0009,8563.79,0.0489,179,58
CLI-0010,3620.59,0.2617,173,89
CLI-0011,6883.44,0.4739,6,81
CLI-0012,2599.94,0.3537,234,2
CLI-0013,3620.69,0.3651,180,16
CLI-0014,3424.26,0.5106,119,49
CLI-0015,7353.33,0.1063,235,45
CLI-0016,3044.16,0.1052,197,25
CLI-0017,2229.85,0.0767,236,68
CLI-0018,3151.84,0.905,149,23
CLI-0019,3363.18,0.3121,163,38
CLI-0020,4646.19,0.4242,60,33
CLI-0021,3569.12,0.3264,156,35
CLI-0022,4463.79,0.4538,84,59
CLI-0023,6640.85,0.4185,39,12
CLI-0024,1543.79,0.2721,74,37
CLI-0025,6690.96,0.5253,45,76
CLI-0026,2882.19,0.519,155,68
CLI-0027,4879.85,0.362,85,53
CLI-0028,7639.75,0.233,126,31
CLI-0029,3741.77,0.1981,168,72
CLI-0030,5041.16,0.508,93,53
CLI-0031,3465.27,0.4379,215,17
CLI-0032,1160.24,0.41,147,53
CLI-0033,7011.21,0.058,33,22
CLI-0034,5254.27,0.5902,55,46
CLI-0035,7311.79,0.1695,1,59
CLI-0036,6585.02,0.4337,132,85
