cliente_id,idade,renda_mensal,tempo_relacionamento_meses,uso_limite,estado_civil,faixa_risco
CLI-0001,26,2362.8,146,0.3286,solteiro,baixo
CLI-0002,36,5045.31,77,0.2951,viuvo,baixo
CLI-0003,37,4183.98,146,0.2331,divorciado,baixo
CLI-0004,67,2064.09,203,0.1274,divorciado,medio
CLI-0005,60,2826.67,169,0.5161,,baixo
CLI-0006,34,3157.05,84,0.4466,divorciado,medio
CLI-0007,30,2581.74,240,0.5661,divorciado,medio
CLI-0008,56,120000.0,67,0.7206,solteiro,baixo
CLI-0009,40,3092.97,60,0.8581,solteiro,medio
CLI-0010,60,3226.76,13,0.2416,viuvo,baixo
CLI-0011,32,2283.35,201,0.2656,solteiro,alto
CLI-0012,62,2553.12,3,0.4516,viuvo,medio
CLI-0013,22,4375.42,74,0.3172,divorciado,baixo
CLI-0014,71,3813.86,19,0.6587,viuvo,baixo
CLI-0015,57,3261.12,108,0.499,viuvo,medio
CLI-0016,69,5627.5,159,0.4153,divorciado,baixo
CLI-0017,41,,116,0.4199,solteiro,medio
CLI-0018,42,5056.95,121,0.2868,solteiro,baixo
CLI-0019,69,,31,0.5668,solteiro,baixo
CLI-0020,70,2516.79,195,0.6689,casado,baixo
CLI-0021,20,4390.6,103,0.5132,divorciado,medio
CLI-0022,63,4129.17,11,0.1731,casado,medio
CLI-0023,48,5864.05,204,0.2344,solteiro,alto
CLI-0024,36,4064.97,116,0.0393,divorciado,medio
CLI-0025,71,3827.02,6,0.5556,solteiro,medio
CLI-0026,54,3381.88,91,0.4449,casado,medio
CLI-0027,44,7663.85,230,0.5234,divorciado,baixo
CLI-0028,61,3156.57,134,0.6256,casado,baixo
CLI-0029,61,3372.75,51,0.2956,divorciado,medio
CLI-0030,46,2581.51,23,0.4482,casado,baixo
CLI-0031,45,2772.72,135,0.4176,casado,baixo
CLI-0032,21,8402.44,106,0.4276,casado,baixo
CLI-0033,38,5189.63,214,0.6626,casado,medio
CLI-0034,27,5229.62,101,0.3058,divorciado,baixo
CLI-0035,64,5853.03,55,0.8021,solteiro,baixo
CLI-0036,54,7199.05,154,0.5769,viuvo,alto
CLI-0037,42,3791.58,169,0.2657,divorciado,baixo
CLI-0038,69,2246.82,5,0.1075,solteiro,baixo
CLI-0039,69,4397.35,208,0.5737,solteiro,alto
CLI-0040,21,10092.21,141,0.4883,viuvo,medio
CLI-0041,35,9539.83,98,0.2403,viuvo,medio
CLI-0042,66,,109,0.2543,viuvo,baixo
CLI-0043,19,4361.18,222,0.5546,casado,alto
CLI-0044,68,2650.12,84,0.4029,,baixo
CLI-0045,53,3560.35,105,0.4129,viuvo,medio
CLI-0046,38,8923.32,163,0.3419,solteiro,medio
CLI-0047,28,4363.41,98,0.2739,viuvo,baixo
CLI-0048,56,,7,0.0806,solteiro,baixo
CLI-0049,28,2469.66,109,0.4978,casado,medio
CLI-0050,39,4108.19,191,0.086,divorciado,baixo
CLI-0051,72,5739.72,85,0.1816,viuvo,baixo
CLI-0052,59,3025.72,148,0.5541,viuvo,alto
CLI-0053,28,1641.19,78,0.521,solteiro,baixo
CLI-0054,39,2215.83,125,0.5319,divorciado,alto
CLI-0055,35,2628.07,8,0.3459,solteiro,baixo
CLI-0056,62,2798.57,147,0.0864,solteiro,medio
CLI-0057,39,5109.96,116,0.4643,viuvo,alto
CLI-0058,32,1979.44,13,0.5654,viuvo,baixo
CLI-0059,58,7503.15,216,0.4088,viuvo,baixo
CLI-0060,34,3991.85,11,0.1742,viuvo,baixo
CLI-0061,57,2817.66,196,0.2672,casado,medio
CLI-0062,31,6049.46,185,0.2572,viuvo,baixo
CLI-0063,47,2342.34,3,0.013,casado,medio
CLI-0064,35,5681.42,192,0.3601,viuvo,medio
CLI-0065,29,1311.06,168,0.2761,solteiro,medio
CLI-0066,46,3616.33,47,0.2259,solteiro,medio
CLI-0067,40,6385.71,64,0.1384,solteiro,baixo
CLI-0068,37,2975.69,222,0.2356,casado,alto
CLI-0069,62,4097.74,38,0.5282,,medio
CLI-0070,64,4646.92,144,0.0787,casado,baixo
CLI-0071,32,,11,0.0539,casado,medio
CLI-0072,41,2232.84,225,0.0772,solteiro,alto
CLI-0073,57,2359.34,73,0.2785,viuvo,baixo
CLI-0074,43,,131,0.506,viuvo,baixo
CLI-0075,32,6214.77,2,0.0986,casado,baixo
CLI-0076,48,7798.24,232,0.0326,casado,baixo
CLI-0077,27,5559.32,167,0.6531,viuvo,baixo
CLI-0078,48,4546.67,60,0.5773,viuvo,baixo
CLI-0079,23,5024.73,8,0.424,casado,baixo
CLI-0080,69,2224.77,7,0.0876,,medio
