cliente_id,idade,renda_mensal,tempo_relacionamento_meses,uso_limite,renda_anual,limite_estimado,saldo_medio,segmento,target_atraso
CLI-0001,46,4011.26,48,0.5073,47147.86,2506.66,2366.99,varejo,0
CLI-0002,41,2638.59,71,0.1774,32076.04,1205.91,1226.2,varejo,0
CLI-0003,37,4304.69,79,0.3173,50155.51,4427.46,3399.7,varejo,0
CLI-0004,22,3539.64,34,0.1427,42439.33,2356.54,2803.4,varejo,0
CLI-0005,66,3822.52,172,0.2099,44408.58,1587.78,2386.37,personnalite,0
CLI-0006,38,1823.2,66,0.7071,22859.4,1778.36,1319.73,uniclass,0
CLI-0007,53,2306.03,191,0.1651,27247.89,612.49,515.73,varejo,0
CLI-0008,71,5516.42,169,0.6907,64401.02,4628.91,2461.76,varejo,0
CLI-0009,34,5589.21,57,0.2997,68523.68,3369.75,3846.7,varejo,0
CLI-0010,42,2984.15,63,0.2723,37077.21,1939.29,1650.7,varejo,0
CLI-0011,68,1994.61,158,0.7273,23286.49,1792.88,1451.18,varejo,0
CLI-0012,36,11565.36,221,0.289,138283.76,7964.79,6213.22,varejo,0
CLI-0013,38,1735.15,45,0.3842,20113.59,438.02,1165.28,varejo,0
CLI-0014,41,5863.49,92,0.4434,68919.39,3836.21,4635.89,uniclass,1
CLI-0015,66,4220.38,126,0.3648,48950.48,2280.34,2409.29,varejo,0
CLI-0016,53,4701.96,49,0.1602,55905.39,2932.51,2260.75,varejo,0
CLI-0017,70,1281.74,225,0.4808,15255.32,1122.8,590.55,personnalite,0
CLI-0018,69,4002.81,66,0.4877,47432.18,3535.18,1010.93,uniclass,0
CLI-0019,22,3841.69,85,0.1906,47469.68,2481.79,1262.51,varejo,1
CLI-0020,42,5185.69,219,0.2866,61148.6,3301.55,1755.7,varejo,0
CLI-0021,54,4339.47,61,0.2188,52296.37,2863.74,2280.03,varejo,1
CLI-0022,43,1641.42,151,0.5555,20481.28,60.41,1176.96,uniclass,0
CLI-0023,46,5131.05,232,0.1259,62103.54,3443.66,3453.01,varejo,0
CLI-0024,25,7566.84,99,0.2649,89773.54,4465.97,1708.17,uniclass,0
