cliente_id,idade,renda_mensal,tempo_relacionamento_meses,uso_limite
CLI-0001,21,3143.05,103,0.3026
CLI-0002,43,5982.57,163,0.641
CLI-0003,46,3016.99,65,0.4378
CLI-0004,66,4669.04,137,0.3396
CLI-0005,65,2675.3,176,0.3248
CLI-0006,69,3569.82,221,0.045
CLI-0007,22,7525.6,118,0.2227
CLI-0008,22,3914.35,209,0.1001
CLI-0009,47,3399.97,81,0.6169
CLI-0010,55,2534.96,195,0.6938
CLI-0011,60,8597.01,79,0.2664
CLI-0012,25,2674.24,3,0.3389
CLI-0013,55,3009.05,130,0.396
CLI-0014,40,6985.46,172,0.7489
CLI-0015,23,2211.33,18,0.1742
CLI-0016,60,3686.5,104,0.3173
CLI-0017,28,3797.72,90,0.4808
CLI-0018,53,3062.72,73,0.3612
CLI-0019,34,2312.8,19,0.5666
CLI-0020,56,2384.53,149,0.4003
CLI-0021,23,7532.96,193,0.6462
CLI-0022,42,2948.73,146,0.1562
CLI-0023,47,14796.19,16,0.5466
CLI-0024,40,1729.52,236,0.2213
CLI-0025,55,5659.07,167,0.666
CLI-0026,33,2981.33,114,0.6458
CLI-0027,28,7992.5,180,0.4351
CLI-0028,49,3363.1,212,0.4833
CLI-0029,22,2456.63,73,0.247
CLI-0030,70,3840.34,34,0.6046
CLI-0031,72,2197.83,152,0.5723
CLI-0032,70,5388.93,151,0.4269
CLI-0033,66,2937.05,20,0.4454
CLI-0034,20,2506.94,25,0.3647
CLI-0035,63,8516.8,211,0.5911
CLI-0036,59,2627.68,222,0.5108
CLI-0037,54,5505.45,74,0.1856
CLI-0038,50,2254.66,87,0.171
CLI-0039,42,3558.78,14,0.3516
CLI-0040,22,1696.0,169,0.4307
CLI-0041,59,8705.99,142,0.3187
CLI-0042,41,3363.49,51,0.7408
CLI-0043,58,4524.67,238,0.2914
CLI-0044,61,4055.18,195,0.3324
CLI-0045,22,6686.02,214,0.2617
CLI-0046,31,10960.78,236,0.2502
CLI-0047,28,3641.33,202,0.5495
CLI-0048,26,1278.79,32,0.4164
CLI-0049,43,5817.93,135,0.2771
CLI-0050,63,2513.3,158,0.346
CLI-0051,66,4517.28,176,0.345
CLI-0052,70,2368.43,220,0.436
CLI-0053,60,4438.31,74,0.5303
CLI-0054,38,2470.0,129,0.686
CLI-0055,42,3344.99,96,0.7097
CLI-0056,64,8125.37,220,0.1692
CLI-0057,21,3088.37,76,0.1537
CLI-0058,36,2635.01,113,0.4966
CLI-0059,56,2321.28,43,0.4139
CLI-0060,22,3690.19,36,0.1801
CLI-0061,67,4384.72,45,0.5883
CLI-0062,63,4305.94,170,0.6539
CLI-0063,57,2447.78,115,0.2622
CLI-0064,65,4280.42,34,0.1991
CLI-0065,26,2538.07,47,0.3441
CLI-0066,20,3169.09,13,0.1448
CLI-0067,45,2265.14,77,0.5227
CLI-0068,33,4775.51,12,0.1767
CLI-0069,40,2497.26,20,0.1767
CLI-0070,66,4807.48,222,0.4834
CLI-0071,63,2816.98,208,0.2834
CLI-0072,19,2951.06,39,0.2338
CLI-0073,55,2864.85,89,0.4642
CLI-0074,36,5072.67,62,0.2585
CLI-0075,38,2635.02,2,0.1156
CLI-0076,46,11391.91,38,0.4586
CLI-0077,48,3099.49,43,0.5565
CLI-0078,70,4684.11,117,0.5111
CLI-0079,67,3840.77,207,0.1391
CLI-0080,49,3748.39,123,0.3064
