cliente_id,idade,renda_mensal,tempo_relacionamento_meses,uso_limite,gasto_mensal,renda_anual
CLI-0001,57,1567.65,147,0.935,1519.67,18183.18
CLI-0002,29,2530.56,167,0.7712,1288.42,30495.84
CLI-0003,33,4302.81,13,0.5631,1408.76,52796.11
CLI-0004,40,2559.57,165,0.2092,1610.6,31219.2
CLI-0005,49,5358.98,222,0.5861,1601.76,63311.94
CLI-0006,46,3171.72,174,0.1484,1044.7,38585.92
CLI-0007,19,2836.22,47,0.3289,1518.08,33802.06
CLI-0008,25,2445.56,73,0.3129,1081.95,28551.3
CLI-0009,39,3579.49,8,0.5136,2112.96,43157.3
CLI-0010,68,3724.38,135,0.1207,987.93,45245.22
CLI-0011,21,2809.64,142,0.3708,542.18,33756.9
CLI-0012,63,7008.72,6,0.321,2798.57,84720.41
CLI-0013,36,8310.68,9,0.5873,2412.48,100370.34
CLI-0014,65,5199.89,139,0.5002,1411.46,62873.09
CLI-0015,59,3962.11,195,0.6061,1571.14,47206.3
CLI-0016,27,1507.12,178,0.5094,1012.81,17252.0
CLI-0017,61,4828.39,117,0.2267,2403.52,58103.76
CLI-0018,43,3231.02,120,0.444,1431.16,37568.38
CLI-0019,70,5268.95,10,0.6202,1808.78,65500.54
CLI-0020,56,6166.84,58,0.3678,1526.74,73662.2
CLI-0021,65,4585.25,113,0.7261,2010.48,54016.41
CLI-0022,56,4364.21,235,0.5555,1973.76,53352.15
CLI-0023,30,2037.92,153,0.1963,1294.15,25451.46
CLI-0024,21,2351.35,166,0.3073,452.87,28768.02
CLI-0025,42,5665.29,170,0.5706,1902.25,66754.63
CLI-0026,55,5965.94,110,0.8488,2430.56,70478.25
CLI-0027,19,4713.8,30,0.19,1417.06,55509.46
CLI-0028,23,2230.27,36,0.1635,384.54,26219.02
CLI-0029,47,2599.4,111,0.3842,2012.66,31255.75
CLI-0030,57,12294.98,60,0.4203,3609.23,148161.41
CLI-0031,72,5436.39,180,0.5222,1536.3,65620.36
CLI-0032,31,4246.97,158,0.4312,2102.56,50872.38
CLI-0033,60,4138.16,60,0.6841,1441.82,49487.43
CLI-0034,70,4290.39,228,0.7606,2330.67,51493.04
CLI-0035,36,7223.84,159,0.591,2547.88,86247.59
CLI-0036,63,1904.77,66,0.6247,2041.57,23718.48
CLI-0037,57,7330.28,171,0.5299,2602.5,88883.12
CLI-0038,39,3896.56,115,0.5304,1616.97,46248.55
CLI-0039,72,2084.76,160,0.4315,999.19,25656.51
CLI-0040,48,4504.25,59,0.1533,1137.84,53310.36
CLI-0041,32,3324.02,136,0.3211,1250.0,38511.81
CLI-0042,48,2707.37,177,0.1702,1160.21,32314.4
CLI-0043,28,4770.41,179,0.6126,1680.04,57220.87
CLI-0044,32,4701.84,54,0.4463,1122.3,57791.11
CLI-0045,41,4394.5,171,0.488,1989.92,52584.81
CLI-0046,43,4572.14,86,0.2976,1491.55,56454.18
CLI-0047,22,2304.01,119,0.3325,1360.95,27454.99
CLI-0048,43,1851.58,180,0.5184,1008.75,22416.5
CLI-0049,39,2731.05,128,0.4618,1546.31,31953.11
CLI-0050,54,5737.24,233,0.2958,2417.35,69223.04
