cliente_id,idade,renda_mensal,tempo_relacionamento_meses,uso_limite,severidade_perda,renda_anual
CLI-0001,37,5580.18,41,0.3339,28684.19,68843.67
CLI-0002,69,3429.36,119,0.5871,11595.06,41231.74
CLI-0003,68,6553.13,2,0.267,39741.2,77908.65
CLI-0004,45,5935.45,16,0.1942,32229.48,71811.68
CLI-0005,23,4214.29,93,0.2728,16732.74,50124.11
CLI-0006,21,3485.27,69,0.3989,11526.36,42978.08
CLI-0007,60,4294.42,77,0.6315,18023.55,53096.7
CLI-0008,35,3092.92,140,0.0861,9186.41,37106.48
CLI-0009,33,5409.88,170,0.3921,26912.9,63368.26
CLI-0010,56,3164.62,41,0.1447,9235.71,37377.82
CLI-0011,23,4896.68,100,0.5089,22613.73,57980.84
CLI-0012,57,2982.44,17,0.4756,9172.16,37121.66
CLI-0013,59,2448.46,34,0.6568,6928.69,29463.05
CLI-0014,71,5927.63,155,0.4375,32691.59,70423.94
CLI-0015,70,4603.65,68,0.381,20019.5,56552.84
CLI-0016,28,3337.57,161,0.675,11610.96,40846.96
CLI-0017,62,6182.48,40,0.3806,35043.88,72877.09
CLI-0018,53,2566.44,136,0.2532,6612.22,31226.44
CLI-0019,27,5385.33,235,0.3467,26753.14,65613.58
CLI-0020,65,2758.11,196,0.512,7649.88,32765.56
CLI-0021,45,2581.42,201,0.343,7524.91,31362.86
CLI-0022,45,3738.69,44,0.1744,13428.49,45430.15
CLI-0023,71,6171.27,199,0.2773,34652.44,72209.17
CLI-0024,67,2625.82,86,0.4326,7549.85,30228.99
CLI-0025,61,3102.69,88,0.5999,9748.51,35890.83
CLI-0026,42,5411.84,183,0.6614,28006.71,64752.83
CLI-0027,45,5896.41,58,0.1922,31560.56,70945.82
CLI-0028,60,1763.08,110,0.2887,3228.36,18467.15
CLI-0029,19,7494.21,40,0.1652,51215.66,90878.77
CLI-0030,59,4343.05,161,0.3267,17451.37,52578.28
CLI-0031,70,5177.69,217,0.3843,24937.39,62494.2
CLI-0032,40,3149.01,143,0.1818,9385.85,35324.12
CLI-0033,47,1618.31,24,0.5098,3513.04,19830.48
CLI-0034,42,4882.32,197,0.5419,22441.99,57243.77
CLI-0035,72,3315.09,125,0.3309,10429.75,39942.59
CLI-0036,50,4319.81,157,0.4469,17697.99,52709.72
CLI-0037,62,9371.86,12,0.5488,80356.83,113692.41
CLI-0038,49,7181.98,128,0.4046,47021.63,86394.26
CLI-0039,63,3883.35,61,0.1883,14019.7,46841.7
CLI-0040,65,3225.61,211,0.2546,9788.69,38622.92
CLI-0041,31,2571.32,58,0.5258,7044.99,30636.95
CLI-0042,46,5261.68,18,0.4537,25903.0,63134.95
CLI-0043,66,4539.73,61,0.7578,20258.78,55367.5
CLI-0044,61,3873.0,65,0.3236,13911.6,47119.3
CLI-0045,32,6068.99,92,0.4757,34059.3,72370.53
CLI-0046,61,4400.92,208,0.5948,19595.04,53677.48
CLI-0047,19,2664.92,240,0.1789,7118.34,33242.01
CLI-0048,22,2116.76,158,0.2623,4831.65,25638.06
CLI-0049,48,5341.68,31,0.5906,26797.51,64571.68
CLI-0050,51,5881.71,222,0.3008,31731.03,69918.51
CLI-0051,68,4360.48,211,0.3368,17772.32,53535.89
CLI-0052,47,2781.27,199,0.6087,8089.62,33590.0
CLI-0053,42,5610.88,224,0.2262,28648.16,67978.75
CLI-0054,66,4521.99,77,0.6205,20106.51,53763.93
CLI-0055,54,3220.08,5,0.3625,10259.59,39091.97
