cliente_id,idade,renda_mensal,tempo_relacionamento_meses,uso_limite,inadimplente,canal
CLI-0001,62,3239.94,73,0.2909,0,app
CLI-0002,56,3985.24,87,0.1418,0,app
CLI-0003,60,7093.69,61,0.4479,0,app
CLI-0004,39,1665.55,104,0.149,0,agencia
CLI-0005,41,2376.33,201,0.8411,0,agencia
CLI-0006,26,2423.69,83,0.0682,0,app
CLI-0007,68,2405.57,136,0.5796,0,app
CLI-0008,49,3761.39,78,0.0567,0,app
CLI-0009,41,1503.17,48,0.1542,0,agencia
CLI-0010,57,2747.97,52,0.4471,0,agencia
CLI-0011,30,4829.08,107,0.254,0,agencia
CLI-0012,39,2894.03,135,0.7228,0,agencia
CLI-0013,68,2809.4,230,0.6452,0,agencia
CLI-0014,57,5178.61,94,0.5532,0,app
CLI-0015,63,2602.57,169,0.6017,0,app
CLI-0016,35,5574.65,234,0.134,0,app
CLI-0017,20,4424.24,222,0.3982,0,agencia
CLI-0018,66,1826.49,13,0.4624,1,agencia
CLI-0019,50,3315.34,69,0.3726,0,telefone
CLI-0020,30,2543.59,21,0.3931,0,agencia
CLI-0021,60,4499.7,81,0.6765,0,app
CLI-0022,44,4228.4,191,0.4562,0,app
CLI-0023,59,3052.94,89,0.3461,0,app
CLI-0024,59,3955.63,142,0.3476,0,app
CLI-0025,25,1756.8,162,0.3611,0,agencia
CLI-0026,50,1847.12,74,0.2269,0,app
CLI-0027,55,3280.06,117,0.1046,0,agencia
CLI-0028,54,6493.44,155,0.3081,0,app
CLI-0029,26,3899.66,34,0.3219,0,app
CLI-0030,40,2995.39,5,0.5157,0,app
CLI-0031,68,6706.68,21,0.495,0,agencia
CLI-0032,57,6077.62,4,0.3505,0,app
CLI-0033,37,2242.39,200,0.2437,0,app
CLI-0034,28,7100.36,175,0.1264,0,app
CLI-0035,53,4484.3,74,0.3323,0,app
CLI-0036,36,2732.55,231,0.2615,0,telefone
CLI-0037,25,1290.3,56,0.3441,0,telefone
CLI-0038,69,3966.55,121,0.4266,0,app
CLI-0039,64,3138.3,82,0.5506,1,telefone
CLI-0040,39,3327.69,44,0.1966,0,app
CLI-0041,45,2811.94,110,0.8821,0,agencia
CLI-0042,63,7961.04,6,0.3867,0,telefone
CLI-0043,32,4572.12,42,0.2851,0,app
CLI-0044,31,5940.93,115,0.3239,0,app
CLI-0045,52,1941.75,176,0.4641,0,app
CLI-0046,21,3545.4,158,0.2211,0,app
CLI-0047,23,4615.09,80,0.1501,0,agencia
CLI-0048,20,3154.51,106,0.1877,0,app
CLI-0049,25,2253.69,60,0.4178,0,app
CLI-0050,26,3356.92,54,0.2039,0,app
CLI-0051,40,2783.26,210,0.3162,0,app
CLI-0052,56,7719.4,71,0.3751,0,app
