cliente_id,feature_a,feature_b,renda_mensal,inadimplente
CLI-0001,-0.6914,0.299,7341.15,0
CLI-0002,-1.1307,1.3002,5346.57,0
CLI-0003,0.6648,2.9189,3587.34,0
CLI-0004,1.8237,1.4082,2849.49,0
CLI-0005,-0.4658,1.4405,2564.94,0
CLI-0006,2.8717,0.8325,3036.04,0
CLI-0007,0.0548,-1.3265,2426.3,1
CLI-0008,-0.3347,0.7969,8137.31,0
CLI-0009,0.8575,1.871,2923.94,0
CLI-0010,0.8298,1.051,2875.7,0
CLI-0011,1.309,0.7306,1613.4,0
CLI-0012,0.0634,-0.4905,4065.28,0
CLI-0013,-1.1213,1.032,4586.14,0
CLI-0014,-0.3432,-0.918,3524.46,0
CLI-0015,-1.3297,-0.274,4369.03,0
CLI-0016,2.0032,-0.3544,4639.76,0
CLI-0017,0.4466,1.4195,1798.41,0
CLI-0018,0.3795,0.4066,9951.65,0
CLI-0019,0.0322,1.7564,4493.16,0
CLI-0020,0.388,1.8877,5332.59,0
CLI-0021,0.5369,1.1195,6815.85,0
CLI-0022,-0.1305,0.0706,6473.64,0
CLI-0023,2.4138,-0.7067,3636.39,1
CLI-0024,-0.5707,1.9647,1591.37,0
CLI-0025,-0.5689,2.2009,2841.41,0
CLI-0026,-0.1755,-0.0034,4180.86,0
CLI-0027,-1.0558,-0.0914,3950.22,0
CLI-0028,-1.8334,1.6523,5660.93,0
CLI-0029,0.1599,1.7233,3465.26,0
CLI-0030,-1.803,0.9082,5550.4,0
CLI-0031,0.8819,-1.4582,3353.52,0
CLI-0032,-0.0642,1.2626,6567.85,0
CLI-0033,1.4832,1.0622,4461.1,0
CLI-0034,0.6089,2.0081,3255.12,0
CLI-0035,-0.8564,0.2142,8529.96,0
CLI-0036,0.2734,2.1763,2820.57,0
CLI-0037,-1.7476,1.9343,5187.93,0
CLI-0038,2.42,1.8446,3443.61,0
CLI-0039,0.0438,0.942,5724.31,0
CLI-0040,0.1415,1.2978,3538.51,0
CLI-0041,0.9877,0.54,5071.8,0
CLI-0042,-0.8411,0.1725,7537.48,0
CLI-0043,-0.0807,1.0382,3749.42,0
CLI-0044,1.3117,-0.4602,5419.39,1
CLI-0045,1.7875,0.2398,1834.01,0
CLI-0046,-0.3598,0.1115,3352.61,0
CLI-0047,-1.5706,0.9953,6026.48,0
CLI-0048,-0.1637,0.6868,1203.18,0
CLI-0049,0.4612,1.683,4667.16,0
CLI-0050,-0.2405,-0.282,6291.99,0
CLI-0051,-0.1616,0.545,5213.13,0
CLI-0052,0.803,1.304,4361.45,1
CLI-0053,-0.1263,-0.6001,2850.55,0
CLI-0054,-0.1674,0.8958,4614.06,0
CLI-0055,0.3038,2.4837,6649.98,0
CLI-0056,1.3804,0.8808,7147.62,0
CLI-0057,-0.9017,0.0061,8974.39,0
CLI-0058,-1.3071,0.6275,2701.21,0
CLI-0059,-0.7007,0.0567,4918.93,0
CLI-0060,0.3791,1.6886,8066.61,0
CLI-0061,-0.1893,1.5842,3090.64,0
CLI-0062,-0.4151,-0.813,4768.59,0
CLI-0063,-1.4308,2.373,3002.81,0
CLI-0064,-1.2735,0.5925,3001.64,0
CLI-0065,-0.3174,-1.765,3709.68,0
CLI-0066,-0.5781,0.2417,2473.92,0
CLI-0067,1.1917,0.676,6183.12,0
CLI-0068,1.5003,-0.7043,3272.13,1
CLI-0069,-0.4095,1.1521,3575.33,0
CLI-0070,-0.0889,1.5501,2623.66,0
CLI-0071,0.181,0.8035,3604.77,0
CLI-0072,1.5024,0.6708,2394.05,0
CLI-0073,0.2653,-0.0648,3603.25,0
CLI-0074,0.0647,0.4671,4256.16,0
CLI-0075,1.6782,0.8183,6829.43,0
CLI-0076,0.6059,0.1034,7022.3,0
CLI-0077,0.5738,1.3828,8399.57,0
CLI-0078,-0.6279,0.6763,4121.97,0
CLI-0079,0.7318,2.299,2722.56,0
CLI-0080,-0.1816,0.788,5624.9,0
CLI-0081,1.7337,-0.0343,5185.12,0
CLI-0082,-0.8223,-0.0122,3275.78,0
CLI-0083,-1.615,3.3986,6460.8,0
CLI-0084,0.1457,1.0271,4749.3,0
CLI-0085,-0.3216,0.7979,4919.46,0
CLI-0086,1.1783,0.1439,2726.23,0
CLI-0087,0.0554,-0.2543,3061.7,0
CLI-0088,-0.657,1.0318,1943.69,0
CLI-0089,0.5781,0.5233,10326.7,0
CLI-0090,-1.403,-0.4925,2022.36,0
CLI-0091,-0.089,0.5848,3071.2,0
CLI-0092,-2.3185,-0.6344,3164.23,0
CLI-0093,-1.7746,1.0163,4686.65,0
CLI-0094,1.9821,0.1009,3406.39,0
CLI-0095,2.5224,1.1504,6739.92,0
CLI-0096,-0.2081,1.6355,4266.6,0
CLI-0097,-2.1371,-1.5474,9951.7,0
CLI-0098,1.8139,-0.1816,4767.58,0
CLI-0099,0.8978,1.1409,2981.55,0
CLI-0100,-1.4808,1.5924,2612.84,0
CLI-0101,-1.2787,-1.8861,6324.91,0
CLI-0102,0.7026,1.6012,1752.69,0
CLI-0103,1.7613,0.3024,6624.4,0
CLI-0104,-1.8963,1.0876,2432.54,0
CLI-0105,0.4736,1.7387,4840.49,0
CLI-0106,0.9196,1.7892,2871.78,0
CLI-0107,-1.6527,0.9281,4370.84,0
CLI-0108,-0.8727,1.3138,3028.48,0
CLI-0109,0.7102,-0.4507,2720.36,0
CLI-0110,1.6007,1.2239,5410.81,0
CLI-0111,-1.3571,2.3431,5724.96,0
CLI-0112,0.9496,0.617,2733.47,0
CLI-0113,0.674,0.3082,4709.85,0
CLI-0114,0.5728,0.2473,5540.52,0
