cliente_id,idade,renda_mensal,tempo_relacionamento_meses,uso_limite,inadimplente,canal
CLI-0001,70,4232.64,51,0.7499,1,app
CLI-0002,32,6545.67,199,0.2483,0,app
CLI-0003,31,8461.96,104,0.5126,0,app
CLI-0004,65,3493.34,47,0.5807,1,app
CLI-0005,22,2449.12,176,0.7496,1,app
CLI-0006,61,6213.81,31,0.5191,0,agencia
CLI-0007,49,1058.99,240,0.0682,0,app
CLI-0008,60,2814.68,12,0.1558,0,app
CLI-0009,71,8339.9,230,0.5967,0,app
CLI-0010,20,5889.6,2,0.5198,0,agencia
CLI-0011,58,5214.71,137,0.5034,0,app
CLI-0012,66,4185.21,75,0.3141,0,app
CLI-0013,71,2807.73,234,0.5739,0,app
CLI-0014,31,2892.65,172,0.2012,0,app
CLI-0015,37,3258.92,38,0.3558,0,app
CLI-0016,31,5621.02,41,0.4013,0,app
CLI-0017,29,3810.82,95,0.5991,0,app
CLI-0018,47,1668.33,78,0.4405,1,app
CLI-0019,55,5596.84,138,0.2293,0,app
CLI-0020,42,1869.03,78,0.3826,0,app
CLI-0021,24,2746.71,57,0.2682,0,app
CLI-0022,27,3451.54,107,0.1306,0,telefone
CLI-0023,71,9494.29,136,0.3531,0,telefone
CLI-0024,45,2834.98,79,0.8519,0,app
CLI-0025,68,3114.31,94,0.8184,0,app
CLI-0026,71,2340.15,147,0.6146,0,app
CLI-0027,58,1425.7,229,0.2244,0,app
CLI-0028,28,2512.26,81,0.2447,0,telefone
CLI-0029,55,6268.59,39,0.5762,0,app
CLI-0030,69,3340.03,176,0.1726,0,app
CLI-0031,61,1908.9,184,0.5174,0,app
CLI-0032,38,7378.57,30,0.2808,0,agencia
CLI-0033,57,2917.16,61,0.5247,0,agencia
CLI-0034,27,1907.2,194,0.4645,0,app
CLI-0035,57,1132.8,45,0.4421,0,agencia
CLI-0036,35,6491.75,116,0.381,0,app
CLI-0037,27,2436.13,203,0.1508,0,app
CLI-0038,32,5708.02,149,0.3145,0,app
CLI-0039,30,8443.32,186,0.4962,0,app
CLI-0040,56,6327.38,182,0.8536,0,app
CLI-0041,20,3738.49,48,0.3661,0,app
CLI-0042,41,3015.24,183,0.3575,0,app
CLI-0043,44,4876.26,87,0.0445,0,telefone
CLI-0044,49,5509.44,176,0.2486,0,telefone
CLI-0045,36,2596.68,206,0.3149,0,app
CLI-0046,44,3346.65,60,0.2547,0,app
CLI-0047,33,8397.73,229,0.3037,0,telefone
CLI-0048,60,4845.34,239,0.2159,0,app
CLI-0049,42,3063.07,98,0.6219,0,telefone
CLI-0050,67,1350.06,200,0.4869,0,app
CLI-0051,44,2797.73,129,0.5064,0,app
CLI-0052,22,4043.06,24,0.3444,0,agencia
CLI-0053,64,2994.89,184,0.1917,0,app
CLI-0054,52,2830.59,85,0.2209,0,app
CLI-0055,63,3465.82,127,0.1978,0,telefone
CLI-0056,43,4285.2,141,0.0506,0,app
CLI-0057,36,2755.19,94,0.3651,0,app
CLI-0058,52,1543.45,145,0.4832,0,app
CLI-0059,61,5479.98,150,0.3915,0,app
CLI-0060,33,6185.62,158,0.1038,0,telefone
CLI-0061,54,4793.43,226,0.2071,0,agencia
CLI-0062,44,3330.43,222,0.5447,0,telefone
CLI-0063,32,5397.52,51,0.0911,0,app
CLI-0064,63,3270.11,138,0.4166,0,agencia
CLI-0065,39,3208.17,156,0.6019,0,telefone
CLI-0066,37,5981.74,80,0.8575,0,telefone
CLI-0067,37,5671.63,19,0.3045,0,app
CLI-0068,55,9058.51,138,0.5369,0,app
CLI-0069,54,3420.47,174,0.2624,0,app
CLI-0070,26,5193.41,27,0.4587,0,app
CLI-0071,49,4976.03,73,0.4162,0,app
CLI-0072,44,5383.33,148,0.2842,1,telefone
CLI-0073,55,2173.46,159,0.292,0,agencia
CLI-0074,20,8212.53,201,0.3725,0,app
CLI-0075,42,5460.24,202,0.1011,0,app
CLI-0076,48,2509.52,111,0.2598,0,app
CLI-0077,40,3093.26,5,0.3023,0,agencia
CLI-0078,46,3164.61,165,0.3144,0,agencia
CLI-0079,33,1815.99,42,0.4905,0,app
CLI-0080,23,4580.45,47,0.5243,0,app
CLI-0081,43,4628.11,78,0.6459,0,app
CLI-0082,49,6835.29,209,0.3264,0,agencia
CLI-0083,27,5844.01,168,0.1519,0,app
CLI-0084,37,2851.12,191,0.4841,0,app
CLI-0085,69,3076.3,128,0.1907,0,telefone
CLI-0086,22,7104.73,176,0.1084,0,app
CLI-0087,60,3295.55,227,0.2813,0,app
CLI-0088,40,7018.59,77,0.5306,0,app
CLI-0089,64,4452.67,97,0.7479,0,telefone
CLI-0090,45,3282.29,92,0.438,0,agencia
CLI-0091,29,3454.93,168,0.4421,1,app
CLI-0092,33,1799.12,162,0.5555,0,app
CLI-0093,19,4104.48,238,0.666,1,app
CLI-0094,48,4076.18,233,0.3795,0,agencia
CLI-0095,65,3122.96,50,0.1468,0,agencia
CLI-0096,45,5635.33,52,0.2709,0,agencia
CLI-0097,45,3157.93,181,0.2866,0,app
CLI-0098,21,4815.18,1,0.2842,0,telefone
CLI-0099,27,7164.94,120,0.4145,0,app
CLI-0100,27,3858.46,130,0.1601,0,telefone
CLI-0101,53,2986.54,235,0.1516,0,agencia
CLI-0102,41,2038.5,3,0.3181,0,agencia
CLI-0103,19,3798.72,123,0.4646,0,app
CLI-0104,70,3546.29,208,0.3809,0,telefone
CLI-0105,54,3118.44,106,0.5722,0,app
CLI-0106,34,3506.22,162,0.225,0,app
CLI-0107,24,3814.19,114,0.396,0,telefone
CLI-0108,49,5248.91,60,0.4166,0,app
CLI-0109,45,6871.71,66,0.5566,0,telefone
CLI-0110,50,3773.1,59,0.1003,0,agencia
CLI-0111,60,4061.98,177,0.422,0,app
CLI-0112,24,4184.81,12,0.2531,0,app
CLI-0113,72,3744.09,203,0.5693,0,app
CLI-0114,24,1441.72,31,0.4913,0,app
CLI-0115,28,3864.86,89,0.2848,0,agencia
CLI-0116,29,2068.82,87,0.1123,0,agencia
