cliente_id,idade,renda_mensal,tempo_relacionamento_meses,uso_limite,inadimplente,canal
CLI-0001,49,5246.35,199,0.1158,0,app
CLI-0002,50,5994.41,132,0.686,0,telefone
CLI-0003,19,1656.13,126,0.524,1,app
CLI-0004,47,2364.08,200,0.3091,0,agencia
CLI-0005,50,3301.8,147,0.3027,0,app
CLI-0006,60,3817.6,105,0.1731,0,agencia
CLI-0007,51,2783.27,85,0.1908,1,app
CLI-0008,36,4178.45,174,0.1447,0,telefone
CLI-0009,67,6299.97,6,0.2741,0,agencia
CLI-0010,30,2431.57,18,0.7073,0,app
CLI-0011,27,3363.85,205,0.2068,0,app
CLI-0012,55,5969.57,143,0.7209,0,app
CLI-0013,52,2996.92,193,0.4354,0,agencia
CLI-0014,40,9501.22,85,0.3424,0,app
CLI-0015,58,5011.11,201,0.231,0,app
CLI-0016,65,7536.4,135,0.3326,1,app
CLI-0017,28,3691.91,176,0.4726,0,app
CLI-0018,20,2855.19,161,0.2661,0,app
CLI-0019,63,3805.42,174,0.2941,0,app
CLI-0020,54,1971.14,78,0.0958,0,app
CLI-0021,55,2618.96,51,0.1946,0,app
CLI-0022,57,6775.7,45,0.3177,1,telefone
CLI-0023,23,1892.32,230,0.7108,0,agencia
CLI-0024,70,2228.32,226,0.6025,0,agencia
CLI-0025,22,2841.0,74,0.3239,0,telefone
CLI-0026,58,2671.64,10,0.1678,0,app
CLI-0027,44,6280.03,60,0.3578,0,app
CLI-0028,36,2470.07,159,0.1931,0,app
CLI-0029,32,2622.92,14,0.8129,0,agencia
CLI-0030,31,2495.63,137,0.6109,0,app
CLI-0031,38,4524.95,72,0.297,0,app
CLI-0032,69,1613.92,81,0.2581,0,app
CLI-0033,35,3132.1,57,0.1215,0,app
CLI-0034,72,2583.42,75,0.6121,0,app
CLI-0035,69,2243.63,124,0.2595,0,app
CLI-0036,51,3363.77,167,0.486,0,app
CLI-0037,64,3812.35,12,0.6811,0,app
CLI-0038,49,3753.37,126,0.4826,0,agencia
CLI-0039,32,1054.45,156,0.554,1,app
CLI-0040,26,11658.4,236,0.0922,0,app
CLI-0041,63,1631.23,217,0.092,0,app
CLI-0042,72,1167.11,210,0.2652,0,app
CLI-0043,48,4812.75,74,0.1833,0,app
CLI-0044,37,2513.47,57,0.1872,0,app
CLI-0045,47,2555.33,95,0.6972,0,agencia
CLI-0046,60,4017.31,235,0.4049,0,app
CLI-0047,24,3426.29,124,0.3046,0,app
CLI-0048,24,7068.23,202,0.1683,0,app
CLI-0049,35,5705.22,98,0.7848,0,app
CLI-0050,57,3942.63,62,0.4427,0,agencia
CLI-0051,57,7124.69,192,0.3386,0,app
CLI-0052,61,2716.41,178,0.5764,0,app
CLI-0053,71,3303.78,186,0.5754,1,app
CLI-0054,39,5444.2,44,0.5208,0,agencia
CLI-0055,22,3307.7,4,0.3966,0,app
CLI-0056,25,5768.62,4,0.3608,1,agencia
CLI-0057,50,3667.74,227,0.3336,0,app
CLI-0058,58,3252.21,38,0.4505,0,telefone
CLI-0059,61,2771.7,183,0.8541,0,app
CLI-0060,22,4575.2,39,0.7003,0,app
CLI-0061,31,7257.32,233,0.1592,0,app
CLI-0062,42,2879.65,189,0.4294,0,app
CLI-0063,68,3187.4,110,0.2707,0,app
CLI-0064,45,1716.71,128,0.6941,0,app
CLI-0065,55,4513.8,195,0.3503,0,telefone
CLI-0066,35,5192.57,83,0.2223,0,app
CLI-0067,55,1867.81,147,0.2575,0,app
CLI-0068,62,3811.55,123,0.1054,0,telefone
CLI-0069,39,7157.88,191,0.4342,0,app
CLI-0070,47,10391.9,207,0.1185,0,app
CLI-0071,72,4549.5,1,0.1165,0,app
CLI-0072,51,6147.71,73,0.6032,0,agencia
CLI-0073,30,3388.93,122,0.2598,0,app
CLI-0074,69,1499.39,149,0.4696,0,app
CLI-0075,71,7619.78,42,0.4032,0,agencia
CLI-0076,53,3315.21,28,0.4533,0,app
CLI-0077,22,4437.61,169,0.0571,0,telefone
CLI-0078,31,2462.41,47,0.4571,0,app
CLI-0079,60,953.55,14,0.6615,0,agencia
CLI-0080,55,2869.46,212,0.4526,0,app
CLI-0081,39,6350.09,187,0.5652,0,app
CLI-0082,66,6143.97,175,0.0887,0,app
CLI-0083,48,4512.3,80,0.3493,0,app
CLI-0084,54,5283.85,171,0.2234,0,app
CLI-0085,39,9258.85,49,0.2703,0,app
CLI-0086,70,4844.89,37,0.4023,0,app
CLI-0087,38,2438.03,45,0.1357,0,app
CLI-0088,41,4660.7,93,0.7165,0,agencia
CLI-0089,22,1483.53,122,0.5754,0,app
CLI-0090,39,2986.59,237,0.0394,0,app
CLI-0091,27,6970.36,115,0.1567,0,app
CLI-0092,55,2691.66,11,0.1553,0,app
CLI-0093,24,2662.78,134,0.6291,0,agencia
CLI-0094,59,2823.05,24,0.3479,0,app
CLI-0095,68,12646.35,2,0.2953,0,app
CLI-0096,21,2825.55,113,0.2915,0,agencia
CLI-0097,62,3580.82,213,0.8345,0,app
CLI-0098,67,6423.17,186,0.6557,0,app
CLI-0099,19,4150.89,104,0.4865,0,app
CLI-0100,61,3503.36,119,0.595,0,app
CLI-0101,32,3264.93,236,0.6044,0,app
CLI-0102,42,4561.83,178,0.2493,0,app
CLI-0103,31,2388.97,96,0.2418,0,app
CLI-0104,31,1705.69,7,0.2998,0,agencia
CLI-0105,46,2582.08,237,0.4096,0,telefone
CLI-0106,20,2633.58,104,0.6247,0,app
CLI-0107,56,2411.75,27,0.4289,0,app
CLI-0108,71,2006.69,204,0.0509,0,agencia
CLI-0109,27,4111.15,221,0.4481,0,app
CLI-0110,60,2408.33,90,0.2836,0,telefone
CLI-0111,24,4409.14,127,0.3371,0,app
CLI-0112,61,4857.63,151,0.191,0,app
CLI-0113,41,3596.35,80,0.1674,0,app
CLI-0114,22,2358.9,207,0.7243,0,app
CLI-0115,61,11758.24,191,0.0924,0,app
CLI-0116,66,4572.42,96,0.5147,0,app
CLI-0117,25,3519.54,168,0.3382,0,telefone
CLI-0118,22,2754.86,170,0.5197,0,telefone
CLI-0119,60,7118.97,109,0.4729,0,app
CLI-0120,59,6363.14,4,0.7276,1,app
CLI-0121,68,3964.02,157,0.5523,0,agencia
CLI-0122,47,6349.62,38,0.477,0,app
CLI-0123,68,5544.51,42,0.0812,0,telefone
CLI-0124,52,4125.21,216,0.3638,0,agencia
CLI-0125,19,4486.22,52,0.4557,0,agencia
CLI-0126,61,8779.65,200,0.7856,0,app
CLI-0127,58,6892.86,232,0.3149,0,app
CLI-0128,69,3049.26,34,0.0937,0,app
CLI-0129,24,1017.87,7,0.1865,0,app
CLI-0130,69,4649.74,150,0.3369,0,app
CLI-0131,66,6341.46,187,0.5113,0,telefone
CLI-0132,49,2162.14,118,0.3897,0,agencia
CLI-0133,54,13192.81,227,0.3371,0,app
CLI-0134,69,4924.78,181,0.6612,1,app
CLI-0135,27,1571.89,176,0.6399,0,telefone
CLI-0136,27,8616.63,2,0.2279,0,app
CLI-0137,36,2522.21,141,0.2974,0,telefone
CLI-0138,34,2868.19,21,0.4737,0,app
