cliente_id,frequencia_mensal,gasto_medio,uso_digital
CLI-0000,33.32,1088.59,0.713
CLI-0001,31.81,927.3,0.56
CLI-0002,43.02,1067.38,0.341
CLI-0003,54.86,2026.25,0.296
CLI-0004,31.03,707.87,0.545
CLI-0005,49.65,2720.23,0.44
CLI-0006,46.08,478.34,0.406
CLI-0007,61.57,2114.96,0.243
CLI-0008,15.67,1982.42,0.812
CLI-0009,41.88,808.14,0.563
CLI-0010,22.98,2291.57,0.764
CLI-0011,17.1,2308.09,1.0
CLI-0012,23.67,2471.28,0.791
CLI-0013,10.61,524.51,0.148
CLI-0014,10.6,2056.94,0.802
CLI-0015,11.29,370.53,0.149
CLI-0016,6.41,98.05,0.209
CLI-0017,60.64,2084.08,0.4
CLI-0018,38.95,747.18,0.49
CLI-0019,22.27,1784.54,0.813
CLI-0020,39.99,560.88,0.585
CLI-0021,38.98,980.39,0.535
CLI-0022,6.33,264.95,0.182
CLI-0023,23.31,2301.45,0.81
CLI-0024,45.76,517.07,0.578
CLI-0025,37.2,3361.0,0.394
CLI-0026,36.16,1078.97,0.645
CLI-0027,55.55,2032.06,0.458
CLI-0028,52.97,2306.94,0.444
CLI-0029,58.12,2078.51,0.319
CLI-0030,20.61,2427.56,0.703
CLI-0031,46.62,1815.39,0.292
CLI-0032,54.56,2271.43,0.222
CLI-0033,33.9,1012.76,0.59
CLI-0034,9.7,739.31,0.287
CLI-0035,22.02,2657.85,0.93
CLI-0036,54.39,2368.15,0.386
CLI-0037,46.2,551.69,0.467
CLI-0038,62.93,2351.01,0.413
CLI-0039,2.92,714.31,0.11
CLI-0040,5.28,509.51,0.13
CLI-0041,16.5,2077.6,0.845
CLI-0042,61.72,2040.16,0.404
CLI-0043,35.31,665.04,0.714
CLI-0044,34.31,678.34,0.616
CLI-0045,22.04,2256.13,0.807
CLI-0046,30.39,673.28,0.464
CLI-0047,15.36,1747.74,0.83
CLI-0048,33.06,475.62,0.451
CLI-0049,20.99,2237.14,0.841
CLI-0050,35.72,742.33,0.52
CLI-0051,61.49,2310.14,0.324
CLI-0052,7.85,266.96,0.231
CLI-0053,16.83,2435.55,0.821
CLI-0054,31.36,797.59,0.548
CLI-0055,12.6,2494.93,0.825
CLI-0056,39.76,492.53,0.564
CLI-0057,55.77,2218.82,0.351
CLI-0058,55.21,2803.89,0.309
CLI-0059,41.22,937.58,0.422
CLI-0060,16.25,1798.54,0.864
CLI-0061,18.69,2050.39,0.838
CLI-0062,23.34,134.47,0.145
CLI-0063,8.13,490.16,0.24
CLI-0064,4.85,293.7,0.162
CLI-0065,10.4,515.03,0.268
CLI-0066,3.37,152.51,0.246
CLI-0067,57.76,2301.9,0.396
CLI-0068,14.09,2248.48,0.7
CLI-0069,22.89,2282.48,0.834
CLI-0070,9.71,309.83,0.178
CLI-0071,19.97,1971.53,0.859
CLI-0072,36.45,667.54,0.462
CLI-0073,56.8,2470.26,0.453
CLI-0074,56.0,1631.24,0.406
CLI-0075,46.49,678.27,0.725
CLI-0076,12.1,2368.03,0.72
CLI-0077,8.49,2356.01,0.804
CLI-0078,15.32,2426.74,0.776
CLI-0079,10.85,2134.45,0.912
CLI-0080,51.86,2543.29,0.394
CLI-0081,61.25,2669.01,0.482
CLI-0082,37.34,617.76,0.625
CLI-0083,46.41,215.09,0.453
CLI-0084,39.43,380.13,0.596
CLI-0085,9.53,-2.14,0.114
CLI-0086,38.98,1249.32,0.518
CLI-0087,57.42,2264.04,0.493
CLI-0088,19.45,2283.28,0.958
CLI-0089,34.16,425.25,0.462
CLI-0090,39.08,966.71,0.583
CLI-0091,9.86,260.84,0.029
CLI-0092,56.08,1926.21,0.274
CLI-0093,32.47,1380.5,0.392
CLI-0094,60.3,1866.19,0.345
CLI-0095,40.92,267.3,0.731
CLI-0096,12.42,157.29,0.345
CLI-0097,53.62,2420.3,0.264
CLI-0098,40.01,784.21,0.567
CLI-0099,55.73,2416.23,0.322
CLI-0100,37.7,704.55,0.638
CLI-0101,20.24,2114.55,0.734
CLI-0102,41.83,507.67,0.599
CLI-0103,20.6,2293.55,0.773
CLI-0104,37.02,830.36,0.452
CLI-0105,11.5,646.67,0.207
CLI-0106,14.61,898.23,0.208
CLI-0107,36.17,808.46,0.511
CLI-0108,21.68,2244.51,0.775
CLI-0109,59.14,2576.58,0.336
CLI-0110,16.62,2178.13,0.831
CLI-0111,17.49,1927.12,0.872
CLI-0112,0.76,-368.89,0.222
CLI-0113,19.97,2449.65,0.773
CLI-0114,59.68,1915.75,0.423
CLI-0115,61.96,2636.38,0.324
CLI-0116,57.17,2432.54,0.343
CLI-0117,21.26,2103.56,0.889
CLI-0118,11.19,370.16,0.266
CLI-0119,11.81,416.69,0.338
CLI-0120,58.39,2292.54,0.323
CLI-0121,14.66,2246.74,0.785
CLI-0122,60.46,2716.64,0.512
CLI-0123,55.6,2452.92,0.351
CLI-0124,45.91,2253.27,0.394
CLI-0125,9.99,444.93,0.233
CLI-0126,20.7,2095.48,0.784
CLI-0127,35.02,847.6,0.577
CLI-0128,38.66,1049.54,0.462
CLI-0129,46.14,1119.52,0.419
CLI-0130,20.83,2401.27,0.724
CLI-0131,8.51,2100.11,0.813
CLI-0132,20.09,2664.67,0.779
CLI-0133,18.08,1987.93,0.767
CLI-0134,6.78,2215.75,0.825
CLI-0135,10.83,533.5,0.115
CLI-0136,57.01,2353.59,0.363
CLI-0137,20.19,1823.0,0.927
CLI-0138,18.86,2287.82,0.971
CLI-0139,50.71,2552.47,0.471
CLI-0140,17.37,263.64,0.21
CLI-0141,51.62,2129.76,0.384
CLI-0142,33.88,877.2,0.578
CLI-0143,21.76,2333.02,0.809
CLI-0144,10.49,161.35,0.25
CLI-0145,52.79,2167.72,0.489
CLI-0146,20.13,1940.83,0.806
CLI-0147,10.5,95.95,0.208
CLI-0148,21.07,1942.62,0.865
CLI-0149,7.99,92.43,0.244
CLI-0150,11.65,388.45,0.143
CLI-0151,16.42,2434.4,0.885
CLI-0152,50.68,2296.5,0.338
CLI-0153,8.45,561.79,0.075
CLI-0154,42.0,659.3,0.678
CLI-0155,23.74,1960.55,0.878
CLI-0156,12.61,220.3,0.075
CLI-0157,23.54,2104.85,0.868
CLI-0158,58.61,2561.35,0.364
CLI-0159,63.45,2495.02,0.428
CLI-0160,57.58,1948.3,0.365
CLI-0161,19.15,1845.85,0.809
CLI-0162,51.04,2039.2,0.405
CLI-0163,6.95,-21.14,0.233
CLI-0164,19.7,2373.12,0.862
CLI-0165,16.89,2378.64,0.828
CLI-0166,60.25,2357.18,0.322
CLI-0167,13.73,183.94,0.209
CLI-0168,9.24,41.78,0.2
CLI-0169,11.92,319.67,0.233
CLI-0170,14.76,262.02,0.163
CLI-0171,23.17,2212.92,0.804
CLI-0172,13.05,304.72,0.174
CLI-0173,53.06,2449.05,0.349
CLI-0174,58.03,2068.0,0.288
CLI-0175,54.09,2499.93,0.285
CLI-0176,59.75,1994.21,0.477
CLI-0177,55.89,2848.26,0.334
CLI-0178,55.21,2298.91,0.415
CLI-0179,56.42,2189.2,0.41
CLI-0180,5.07,-126.17,0.171
CLI-0181,36.68,364.36,0.666
CLI-0182,51.07,2419.87,0.227
CLI-0183,14.34,515.08,0.193
CLI-0184,41.52,473.26,0.668
