cliente_id,custo_contato,retorno_esperado,risco,segmento,elegivel
CLI-0001,13,84.97,0.2064,A,1
CLI-0002,7,33.76,0.1951,B,1
CLI-0003,6,55.36,0.3142,C,1
CLI-0004,11,39.51,0.2651,B,1
CLI-0005,5,74.97,0.2921,C,1
CLI-0006,14,41.13,0.2153,A,1
CLI-0007,10,91.01,0.349,A,1
CLI-0008,10,18.6,0.1024,A,1
CLI-0009,4,48.65,0.0218,B,1
CLI-0010,15,85.07,0.2481,A,1
CLI-0011,3,70.98,0.133,B,1
CLI-0012,7,37.32,0.0627,C,0
CLI-0013,7,94.5,0.0611,B,0
CLI-0014,3,73.35,0.1429,C,1
CLI-0015,12,44.05,0.3193,B,0
CLI-0016,12,46.48,0.0447,A,1
CLI-0017,3,85.66,0.3194,B,1
CLI-0018,6,34.49,0.2477,B,1
CLI-0019,14,39.25,0.0172,C,1
CLI-0020,9,53.19,0.0828,B,1
CLI-0021,12,47.61,0.2503,B,1
CLI-0022,12,89.71,0.2773,A,0
CLI-0023,13,24.14,0.0693,A,1
CLI-0024,6,73.91,0.3396,C,1
CLI-0025,4,13.77,0.2596,B,1
CLI-0026,14,51.84,0.115,B,1
CLI-0027,11,8.01,0.2151,C,1
CLI-0028,7,24.45,0.2714,C,1
CLI-0029,14,28.62,0.1539,B,0
CLI-0030,5,42.6,0.1002,B,1
CLI-0031,4,75.65,0.2577,B,1
CLI-0032,16,80.18,0.2407,B,0
CLI-0033,16,51.47,0.2372,A,0
CLI-0034,15,17.46,0.0178,A,1
CLI-0035,17,43.7,0.1514,C,0
CLI-0036,3,10.74,0.0962,B,1
CLI-0037,11,29.66,0.05,B,1
CLI-0038,11,39.05,0.2291,B,1
CLI-0039,3,76.51,0.2762,C,1
CLI-0040,9,27.7,0.1439,B,1
CLI-0041,5,32.21,0.0447,B,1
CLI-0042,15,70.22,0.155,C,1
CLI-0043,11,23.05,0.0891,A,0
CLI-0044,14,26.87,0.3409,B,1
CLI-0045,10,53.79,0.1659,C,1
CLI-0046,9,16.61,0.1181,A,1
CLI-0047,4,91.05,0.2309,A,0
CLI-0048,13,52.77,0.3087,B,1
CLI-0049,11,41.91,0.1877,C,1
CLI-0050,3,91.87,0.1429,B,1
CLI-0051,11,20.08,0.014,A,1
CLI-0052,14,22.98,0.1048,B,0
CLI-0053,17,62.0,0.0448,C,1
CLI-0054,11,14.28,0.2201,B,1
CLI-0055,9,29.15,0.1898,B,1
CLI-0056,4,93.96,0.0568,A,1
CLI-0057,9,30.22,0.1181,B,1
CLI-0058,14,94.75,0.2094,C,1
CLI-0059,15,26.82,0.0948,B,1
CLI-0060,4,54.6,0.0359,C,0
CLI-0061,9,56.64,0.2368,B,1
CLI-0062,3,84.87,0.329,B,1
CLI-0063,13,11.08,0.1689,C,1
CLI-0064,5,10.48,0.3188,C,1
CLI-0065,15,79.33,0.1566,C,1
CLI-0066,12,89.38,0.2706,B,1
CLI-0067,6,83.22,0.2631,B,1
CLI-0068,9,55.63,0.1928,A,0
CLI-0069,6,92.5,0.08,B,1
CLI-0070,4,37.79,0.0697,B,1
CLI-0071,8,49.34,0.0922,A,1
CLI-0072,14,94.87,0.2908,B,1
CLI-0073,8,17.1,0.0584,B,1
CLI-0074,10,69.78,0.1892,A,1
CLI-0075,7,25.22,0.1861,C,1
CLI-0076,17,78.86,0.3166,C,1
CLI-0077,16,66.46,0.1784,A,1
CLI-0078,17,70.81,0.2958,B,1
CLI-0079,9,13.46,0.0797,B,1
CLI-0080,13,93.23,0.2438,B,1
CLI-0081,9,42.69,0.1169,B,1
CLI-0082,7,20.76,0.2593,C,0
CLI-0083,4,8.78,0.3202,C,1
CLI-0084,11,10.42,0.0471,C,1
CLI-0085,14,24.81,0.142,B,1
CLI-0086,13,45.66,0.2532,B,1
CLI-0087,4,13.02,0.2842,B,1
CLI-0088,16,23.65,0.1824,B,1
CLI-0089,13,12.58,0.096,A,1
CLI-0090,11,46.82,0.0572,B,1
CLI-0091,3,17.72,0.1551,C,1
CLI-0092,5,29.84,0.1084,C,0
CLI-0093,3,44.94,0.1529,A,1
CLI-0094,10,16.17,0.2969,A,1
CLI-0095,8,10.07,0.136,A,1
CLI-0096,15,18.88,0.1621,B,1
CLI-0097,7,54.06,0.3196,B,1
CLI-0098,13,13.38,0.2208,C,0
CLI-0099,9,67.84,0.2856,A,1
CLI-0100,17,15.29,0.0436,B,1
