origem,destino,dispositivo,valor,data_hora
C059,C013,D049,218.99,2026-06-01 00:00:00
C085,C068,D007,251.35,2026-06-01 00:47:00
C052,C031,D026,118.2,2026-06-01 01:34:00
C084,C087,D019,117.93,2026-06-01 02:21:00
C063,C063,D007,103.13,2026-06-01 03:08:00
C066,C054,D016,88.37,2026-06-01 03:55:00
C013,C002,D007,103.19,2026-06-01 04:42:00
C084,C054,D046,104.61,2026-06-01 05:29:00
C045,C060,D030,69.88,2026-06-01 06:16:00
C039,C084,D038,80.6,2026-06-01 07:03:00
C088,C075,D029,1286.51,2026-06-01 07:50:00
C052,C030,D030,39.48,2026-06-01 08:37:00
C076,C057,D007,295.17,2026-06-01 09:24:00
C024,C074,D044,181.56,2026-06-01 10:11:00
C051,C058,D037,483.71,2026-06-01 10:58:00
C081,C045,D050,952.66,2026-06-01 11:45:00
C039,C036,D049,277.9,2026-06-01 12:32:00
C009,C033,D020,108.6,2026-06-01 13:19:00
C009,C089,D021,138.2,2026-06-01 14:06:00
C006,C054,D019,614.38,2026-06-01 14:53:00
C063,C052,D044,257.36,2026-06-01 15:40:00
C048,C082,D040,193.79,2026-06-01 16:27:00
C075,C007,D039,77.07,2026-06-01 17:14:00
C011,C083,D006,203.8,2026-06-01 18:01:00
C020,C044,D042,264.36,2026-06-01 18:48:00
C020,C016,D031,111.89,2026-06-01 19:35:00
C019,C046,D022,119.76,2026-06-01 20:22:00
C049,C058,D027,253.52,2026-06-01 21:09:00
C075,C049,D005,153.09,2026-06-01 21:56:00
C065,C069,D023,151.92,2026-06-01 22:43:00
C046,C023,D008,234.3,2026-06-01 23:30:00
C073,C074,D005,1917.25,2026-06-02 00:17:00
C074,C078,D027,139.33,2026-06-02 01:04:00
C021,C077,D043,65.19,2026-06-02 01:51:00
C060,C065,D048,91.05,2026-06-02 02:38:00
C020,C081,D032,182.37,2026-06-02 03:25:00
C003,C050,D007,230.67,2026-06-02 04:12:00
C057,C001,D042,356.63,2026-06-02 04:59:00
