data,quantidade_transacoes,valor_total
2025-01-01,925,174192.47
2025-01-02,933,179113.58
2025-01-03,1000,181983.38
2025-01-04,905,168259.47
2025-01-05,892,176839.64
2025-01-06,800,141904.17
2025-01-07,779,124727.51
2025-01-08,902,158298.48
2025-01-09,993,206325.33
2025-01-10,940,172452.07
2025-01-11,983,159203.36
2025-01-12,702,145849.51
2025-01-13,661,114498.05
2025-01-14,814,169007.58
2025-01-15,986,182853.06
2025-01-16,1020,195201.02
2025-01-17,1039,167793.07
2025-01-18,927,179805.02
2025-01-19,851,173062.6
2025-01-20,797,149402.56
2025-01-21,813,130737.49
2025-01-22,896,145158.78
2025-01-23,1027,175264.62
2025-01-24,1031,183618.72
2025-01-25,1029,189389.42
2025-01-26,820,168597.41
2025-01-27,830,160018.06
2025-01-28,868,171974.83
2025-01-29,952,155202.55
2025-01-30,1057,212409.84
2025-01-31,1066,196586.7
2025-02-01,994,195102.25
2025-02-02,985,184695.67
2025-02-03,800,139899.31
2025-02-04,932,156698.11
2025-02-05,912,181117.06
2025-02-06,1138,201609.19
2025-02-07,959,192828.98
2025-02-08,1033,202267.27
2025-02-09,858,147689.4
2025-02-10,787,144629.98
2025-02-11,741,145459.56
2025-02-12,958,189581.85
2025-02-13,924,167296.81
2025-02-14,1055,196507.68
2025-02-15,945,151456.2
2025-02-16,946,171289.3
2025-02-17,749,139923.83
2025-02-18,861,144565.97
2025-02-19,896,163127.42
2025-02-20,1093,184452.52
2025-02-21,1064,187110.96
2025-02-22,1020,173877.69
2025-02-23,932,173912.21
2025-02-24,831,134226.01
2025-02-25,783,130027.21
2025-02-26,902,186902.52
2025-02-27,1038,196762.59
2025-02-28,1134,226918.41
2025-03-01,944,194578.35
2025-03-02,838,156036.12
2025-03-03,799,147336.37
2025-03-04,859,167267.64
2025-03-05,957,197474.71
2025-03-06,1088,228041.46
2025-03-07,1094,181387.72
2025-03-08,993,188609.94
2025-03-09,818,164076.27
2025-03-10,937,160520.74
2025-03-11,804,153775.87
2025-03-12,888,177551.62
2025-03-13,1118,211466.05
2025-03-14,1076,216340.6
2025-03-15,970,175491.46
2025-03-16,970,198967.2
2025-03-17,857,168159.02
2025-03-18,859,166592.04
2025-03-19,996,169059.23
2025-03-20,1046,169654.2
2025-03-21,1104,225677.43
2025-03-22,1174,192662.66
2025-03-23,951,166032.6
2025-03-24,932,166721.25
2025-03-25,903,146796.33
2025-03-26,1009,178388.34
2025-03-27,1075,184027.59
2025-03-28,1207,234270.31
2025-03-29,1064,187397.87
2025-03-30,951,196931.44
2025-03-31,890,158532.81
2025-04-01,986,178939.85
2025-04-02,987,185484.86
2025-04-03,1045,186500.13
2025-04-04,1140,219754.91
2025-04-05,1012,177300.55
2025-04-06,882,155721.54
2025-04-07,889,164629.77
2025-04-08,853,172259.2
2025-04-09,954,173985.12
2025-04-10,1102,197953.32
2025-04-11,1189,210160.87
2025-04-12,1001,195353.26
2025-04-13,900,174326.09
2025-04-14,880,144438.21
2025-04-15,1038,187910.67
2025-04-16,1015,167047.02
2025-04-17,1090,195189.53
2025-04-18,1050,168993.1
2025-04-19,1131,185379.81
2025-04-20,900,183510.46
2025-04-21,910,183701.78
2025-04-22,877,176509.42
2025-04-23,1030,169236.31
2025-04-24,1070,206136.79
2025-04-25,1108,232030.92
2025-04-26,982,183744.18
2025-04-27,973,197422.85
2025-04-28,929,171099.71
2025-04-29,885,154017.59
2025-04-30,942,177347.09
2025-05-01,1062,213970.89
2025-05-02,1101,223702.82
2025-05-03,1065,193599.64
2025-05-04,975,186520.04
2025-05-05,917,166932.86
2025-05-06,900,148178.29
2025-05-07,1064,173201.83
2025-05-08,1032,169245.63
2025-05-09,1068,211330.15
2025-05-10,1081,224180.49
2025-05-11,994,172932.35
2025-05-12,868,172187.51
2025-05-13,912,179289.23
2025-05-14,954,199220.09
2025-05-15,1098,201339.31
2025-05-16,1135,221806.28
2025-05-17,1088,213507.72
2025-05-18,890,172413.75
2025-05-19,844,152716.05
2025-05-20,957,174059.66
2025-05-21,970,202949.29
2025-05-22,1167,223949.01
2025-05-23,1133,182994.2
2025-05-24,1099,214775.01
2025-05-25,945,180640.93
2025-05-26,891,155422.36
2025-05-27,985,182880.26
2025-05-28,1081,204070.76
2025-05-29,1160,211755.72
2025-05-30,1253,262232.74
2025-05-31,1021,171517.34
2025-06-01,1162,189827.63
2025-06-02,799,130556.66
2025-06-03,972,193436.05
2025-06-04,968,193139.88
2025-06-05,1070,193619.91
2025-06-06,1233,240480.22
2025-06-07,1150,196723.87
2025-06-08,944,160032.87
2025-06-09,894,151124.91
2025-06-10,931,174991.96
2025-06-11,1050,192358.71
2025-06-12,1168,194314.71
2025-06-13,1117,220347.51
2025-06-14,1079,179247.84
2025-06-15,1020,173367.95
2025-06-16,881,184194.06
2025-06-17,967,200758.87
2025-06-18,1101,182795.79
2025-06-19,1250,247449.17
2025-06-20,1211,239022.22
2025-06-21,1166,228577.06
2025-06-22,968,161267.22
2025-06-23,877,177128.95
2025-06-24,1005,202066.94
2025-06-25,1100,185302.78
2025-06-26,1136,189554.34
2025-06-27,1178,229699.41
2025-06-28,1150,230573.7
2025-06-29,966,158811.21
2025-06-30,982,206121.84
2025-07-01,1017,177039.47
2025-07-02,1078,209918.09
2025-07-03,1181,212980.92
2025-07-04,1139,207935.82
2025-07-05,1087,209701.82
2025-07-06,1086,186673.18
2025-07-07,954,199457.83
2025-07-08,913,165095.42
2025-07-09,1137,188603.19
2025-07-10,1100,227077.12
2025-07-11,1300,228321.49
2025-07-12,1147,228726.2
2025-07-13,1106,230923.62
2025-07-14,954,176558.5
2025-07-15,1008,198505.02
2025-07-16,1104,196163.42
2025-07-17,1164,193410.92
2025-07-18,1207,229410.33
2025-07-19,1016,171246.47
2025-07-20,1101,179940.8
2025-07-21,917,155694.72
2025-07-22,976,191770.25
2025-07-23,1172,213129.45
2025-07-24,1179,228990.01
2025-07-25,1141,227325.33
2025-07-26,1187,246251.43
2025-07-27,1010,206910.55
2025-07-28,986,175939.7
2025-07-29,1085,203598.26
2025-07-30,1178,235403.79
2025-07-31,1163,201561.06
2025-08-01,1183,213849.05
2025-08-02,1161,185839.54
2025-08-03,1103,209995.71
2025-08-04,1038,207180.22
2025-08-05,931,180262.75
2025-08-06,1130,224043.25
2025-08-07,1190,231355.04
2025-08-08,1240,255108.45
2025-08-09,1154,234579.5
2025-08-10,1010,169568.55
2025-08-11,1011,195675.36
2025-08-12,945,164057.49
2025-08-13,1197,210697.76
2025-08-14,1186,237606.03
2025-08-15,1183,227354.45
2025-08-16,1180,207463.59
2025-08-17,989,174314.42
2025-08-18,979,161362.54
2025-08-19,1120,232772.89
2025-08-20,1116,190838.78
2025-08-21,1086,176815.87
2025-08-22,1190,216692.11
2025-08-23,1036,183887.44
2025-08-24,985,179764.79
2025-08-25,1019,212955.74
2025-08-26,1039,206711.68
2025-08-27,1100,192688.16
2025-08-28,1242,240632.6
2025-08-29,1257,208076.04
2025-08-30,1211,238859.96
2025-08-31,1038,168794.86
2025-09-01,1132,201445.1
2025-09-02,1014,170677.31
2025-09-03,1160,232409.61
2025-09-04,1265,227233.77
2025-09-05,1245,217378.04
2025-09-06,1149,203188.22
2025-09-07,1099,197013.15
2025-09-08,906,157553.72
2025-09-09,1156,212901.9
2025-09-10,1176,212087.59
2025-09-11,1212,221741.52
2025-09-12,1289,261875.26
2025-09-13,1253,200871.29
2025-09-14,1077,223099.8
2025-09-15,1060,218431.06
2025-09-16,1009,191454.15
2025-09-17,1192,248466.84
2025-09-18,1231,216024.74
