transacao_id,valor,hora,distancia_km,tentativas_10min
T00000,158.19,8,13.82,0
T00001,217.4,16,0.98,0
T00002,215.62,8,7.41,0
T00003,145.85,16,8.93,0
T00004,220.95,4,10.14,1
T00005,164.15,23,12.07,2
T00006,81.13,18,8.47,0
T00007,367.19,3,4.09,1
T00008,339.48,6,13.33,0
T00009,17.2,6,1.75,2
T00010,79.56,18,3.75,0
T00011,47.8,14,3.94,1
T00012,195.08,22,7.86,0
T00013,51.73,14,3.75,1
T00014,97.28,0,2.32,0
T00015,206.41,6,7.22,0
T00016,68.56,19,0.77,1
T00017,238.66,4,3.79,1
T00018,53.1,9,5.8,0
T00019,47.62,12,2.16,0
T00020,96.22,18,3.13,0
T00021,117.56,5,5.21,0
T00022,140.39,18,2.21,0
T00023,131.46,12,2.95,0
T00024,178.75,1,2.95,0
T00025,151.11,1,3.24,0
T00026,163.96,6,3.3,0
T00027,37.64,15,24.9,0
T00028,61.74,19,3.63,0
T00029,247.16,6,5.24,0
T00030,54.49,14,0.95,1
T00031,9800.0,4,850.0,14
T00032,116.25,2,2.17,1
T00033,170.93,20,9.57,1
T00034,141.23,10,0.6,0
T00035,155.75,6,3.6,0
T00036,103.21,5,5.07,2
T00037,237.71,8,9.27,2
T00038,116.85,12,12.12,1
T00039,93.06,18,4.34,2
T00040,58.4,16,4.63,0
T00041,248.35,10,4.26,0
T00042,109.52,15,3.62,0
T00043,322.81,9,2.78,1
T00044,123.7,22,6.78,1
T00045,128.25,10,4.1,0
T00046,74.37,1,10.82,1
T00047,58.71,3,3.36,1
T00048,66.23,2,1.08,1
T00049,129.67,20,3.84,1
T00050,92.44,7,13.18,1
T00051,57.2,2,17.31,0
T00052,74.04,13,1.23,0
T00053,124.7,12,2.97,2
T00054,84.02,8,2.35,1
T00055,162.24,10,15.66,1
T00056,289.79,21,2.26,0
T00057,83.2,15,2.44,2
T00058,315.43,22,3.6,1
T00059,217.14,10,12.87,2
T00060,118.26,22,8.11,0
T00061,192.23,19,16.06,2
T00062,171.98,3,1.57,0
T00063,30.71,6,7.39,0
T00064,62.9,14,5.3,2
T00065,132.57,11,5.19,1
T00066,343.49,14,3.23,2
T00067,80.6,14,2.89,3
T00068,148.35,9,7.12,1
T00069,95.84,14,7.9,1
T00070,206.01,3,1.08,3
T00071,300.88,12,1.59,1
T00072,106.62,12,4.0,1
T00073,210.78,14,3.43,1
