cliente_id,idade,renda_mensal,tempo_relacionamento_meses,uso_limite,inadimplente,canal,gasto_mensal,data_referencia
CLI-0001,57,4793.8,233,0.2111,0,app,1529.91,2026-06-01
CLI-0002,49,7273.55,161,0.5882,0,app,2003.88,2026-02-01
CLI-0003,60,4320.1,201,0.6012,0,agencia,1370.72,2026-05-01
CLI-0004,62,11164.6,144,0.222,0,app,2312.04,2025-11-01
CLI-0005,28,4729.6,216,0.565,0,app,1365.17,2026-03-01
CLI-0006,31,11823.46,136,0.1609,0,app,2406.2,2025-12-01
CLI-0007,37,6498.31,68,0.2556,0,agencia,2109.03,2025-01-01
CLI-0008,65,5496.54,168,0.2905,0,telefone,1352.94,2025-10-01
CLI-0009,60,4321.67,25,0.1357,0,app,881.92,2025-09-01
CLI-0010,63,1922.27,102,0.8353,0,telefone,1362.25,2026-02-01
CLI-0011,71,3971.19,229,0.7283,0,agencia,1822.53,2026-02-01
CLI-0012,56,3254.96,119,0.2628,0,agencia,1047.71,2025-11-01
CLI-0013,67,4115.04,88,0.3592,0,telefone,1089.62,2026-03-01
CLI-0014,23,6534.64,188,0.0612,0,telefone,1648.63,2025-06-01
CLI-0015,43,2532.5,183,0.6309,0,app,1091.18,2025-04-01
CLI-0016,50,3355.14,201,0.484,0,app,722.48,2025-10-01
CLI-0017,28,3235.0,125,0.28,0,telefone,1258.4,2026-05-01
CLI-0018,23,3760.13,116,0.3629,0,app,1016.94,2025-04-01
CLI-0019,50,4545.11,42,0.348,0,app,850.66,2025-04-01
CLI-0020,56,3765.86,97,0.5717,0,telefone,1337.44,2026-02-01
CLI-0021,69,2587.28,91,0.63,0,app,1022.26,2025-01-01
CLI-0022,64,3640.02,222,0.4858,0,app,1043.49,2026-03-01
CLI-0023,60,2378.6,124,0.1878,0,app,996.02,2025-11-01
CLI-0024,63,3083.78,28,0.4258,0,app,1326.68,2026-04-01
CLI-0025,54,3361.15,233,0.4563,0,telefone,1088.94,2026-04-01
CLI-0026,20,5384.98,92,0.3293,0,app,1116.12,2025-10-01
CLI-0027,22,4782.25,161,0.3014,0,telefone,1599.75,2026-02-01
CLI-0028,27,3420.29,238,0.293,0,app,1228.85,2026-05-01
CLI-0029,66,4696.84,86,0.0984,0,app,1175.82,2026-03-01
CLI-0030,49,6217.23,226,0.1827,0,app,1706.75,2026-06-01
CLI-0031,53,1964.49,222,0.3557,0,app,928.96,2025-02-01
CLI-0032,69,2583.98,140,0.6748,0,app,893.27,2025-09-01
CLI-0033,55,6960.8,218,0.363,0,app,2181.77,2025-06-01
CLI-0034,40,1807.32,89,0.6703,0,app,781.55,2025-05-01
CLI-0035,21,4409.22,113,0.2457,0,agencia,1317.85,2025-05-01
CLI-0036,51,4096.68,28,0.3171,0,app,1518.19,2025-06-01
CLI-0037,41,13824.87,177,0.2925,0,agencia,2753.85,2026-03-01
CLI-0038,26,3356.02,173,0.2872,0,agencia,892.86,2025-09-01
CLI-0039,65,3158.97,46,0.2885,0,app,902.41,2025-01-01
CLI-0040,44,5119.11,89,0.6775,0,app,1679.69,2025-05-01
CLI-0041,47,3403.79,38,0.3279,0,telefone,1518.24,2026-02-01
CLI-0042,46,1945.58,84,0.2069,0,app,1090.63,2025-09-01
CLI-0043,69,2625.76,29,0.4726,0,app,1402.36,2025-12-01
CLI-0044,62,1156.73,155,0.2426,0,app,1071.66,2026-01-01
CLI-0045,42,4007.78,159,0.3738,0,app,1606.25,2026-01-01
CLI-0046,21,1188.04,112,0.549,0,app,1451.78,2025-03-01
CLI-0047,20,3071.86,65,0.3844,0,telefone,1241.01,2025-03-01
CLI-0048,24,1501.05,178,0.5829,1,app,941.77,2025-07-01
CLI-0049,49,2076.72,49,0.6485,0,app,723.02,2026-02-01
CLI-0050,41,3858.1,169,0.4215,0,app,1594.47,2025-06-01
CLI-0051,58,4343.19,94,0.6178,0,telefone,2265.47,2025-11-01
CLI-0052,67,4733.88,117,0.4745,0,agencia,2106.57,2026-01-01
CLI-0053,62,3644.21,42,0.3586,0,app,1280.57,2025-06-01
CLI-0054,56,2463.16,170,0.0995,0,app,790.01,2025-03-01
CLI-0055,63,3515.22,52,0.2861,0,app,1188.15,2025-12-01
CLI-0056,72,4955.18,150,0.5758,0,agencia,1153.85,2026-01-01
CLI-0057,34,4283.4,65,0.3027,0,telefone,1942.02,2025-05-01
CLI-0058,62,5228.39,73,0.3485,0,app,1544.09,2025-03-01
CLI-0059,69,5477.37,185,0.4277,0,agencia,1163.17,2026-05-01
CLI-0060,72,2036.75,194,0.3792,0,agencia,663.97,2025-12-01
CLI-0061,53,6482.72,224,0.3958,0,agencia,1469.77,2025-01-01
CLI-0062,67,2421.6,133,0.4782,0,telefone,741.16,2025-09-01
CLI-0063,20,7215.62,134,0.0808,0,app,2559.83,2025-01-01
CLI-0064,70,3200.86,167,0.3943,0,app,1042.17,2025-10-01
CLI-0065,72,2953.2,152,0.7267,0,telefone,893.71,2026-01-01
CLI-0066,20,6314.83,93,0.6006,0,app,1294.59,2025-03-01
CLI-0067,60,2454.55,87,0.4696,1,app,1785.42,2025-07-01
CLI-0068,27,8427.82,137,0.4064,0,app,1892.34,2025-05-01
CLI-0069,20,2782.28,75,0.6411,0,app,1174.48,2025-01-01
CLI-0070,19,4209.47,32,0.3414,0,telefone,647.87,2026-06-01
CLI-0071,38,6316.1,198,0.0671,0,telefone,1504.77,2025-09-01
CLI-0072,60,3701.84,218,0.494,0,app,1236.56,2026-03-01
CLI-0073,56,1685.81,110,0.4058,0,telefone,857.79,2025-10-01
CLI-0074,43,4797.11,83,0.4035,0,agencia,1434.42,2025-09-01
CLI-0075,34,7395.2,168,0.5484,0,app,2146.83,2025-04-01
CLI-0076,28,3818.61,193,0.1299,0,app,873.73,2025-02-01
CLI-0077,50,2411.64,12,0.1302,0,app,944.07,2025-10-01
CLI-0078,39,4553.52,78,0.4304,0,app,1519.12,2025-05-01
CLI-0079,71,6837.2,34,0.301,0,app,1565.64,2025-09-01
CLI-0080,25,2842.84,194,0.4704,0,agencia,1080.64,2025-03-01
CLI-0081,55,11862.8,228,0.3101,0,app,1929.09,2026-06-01
CLI-0082,23,2058.36,64,0.4992,0,agencia,683.15,2026-03-01
CLI-0083,72,2512.9,144,0.3062,0,agencia,1138.14,2026-05-01
CLI-0084,21,3345.95,96,0.6785,0,app,1478.52,2026-03-01
CLI-0085,43,16234.67,134,0.3304,0,app,3107.53,2025-08-01
CLI-0086,60,1597.69,87,0.382,0,app,1200.26,2026-05-01
CLI-0087,55,8242.99,60,0.0734,0,agencia,1777.89,2025-11-01
CLI-0088,32,5098.09,131,0.3066,0,app,1604.46,2026-01-01
CLI-0089,26,3528.59,36,0.702,1,agencia,1711.94,2025-12-01
CLI-0090,25,3817.85,170,0.5669,1,app,993.01,2025-07-01
CLI-0091,36,5522.75,216,0.5724,0,app,952.59,2026-04-01
CLI-0092,19,12126.81,129,0.2504,0,app,2566.24,2025-10-01
CLI-0093,45,12290.48,222,0.4287,0,app,4011.21,2025-10-01
CLI-0094,23,3898.8,79,0.3675,0,app,879.78,2025-03-01
CLI-0095,22,3902.39,113,0.2574,0,telefone,826.25,2025-09-01
